id_mov;presupuesto;fecha;tipo_contenido;duracion
15057;353671;18-08-25;spam;79
15058;515177;11-01-14;audio;16
15059;98607;12-12-04;video;84
15060;33997;82-01-08;video;13
15061;911409;98-11-11;audio;51
15062;135010;19-06-01;imagenes;21
15063;539747;17-07-04;video;81
15064;915000;07-05-31;video;6
15065;399513;71-08-23;video;60
15066;603820;76-06-28;spam;17
15067;222534;02-01-18;audio;70
15068;565829;09-06-03;audio;24
15069;732825;01-08-17;spam;68
15070;45045;83-09-06;spam;71
15071;225653;97-04-17;imagenes;81
15072;8616;08-03-13;video;54
15073;70532;01-01-30;audio;82
15074;673597;14-08-09;video;10
15075;46762;84-01-13;audio;13
15076;260865;13-07-03;audio;14
15077;267670;98-12-23;imagenes;70
15078;210912;12-12-11;video;39
15079;524780;02-08-19;audio;1
15080;98648;96-11-26;video;82
15081;446892;18-02-25;audio;34
15082;691046;70-12-20;spam;62
15083;431155;81-12-09;audio;7
15084;1863;04-12-19;spam;13
15085;3253;03-01-29;audio;34
15086;379433;17-08-26;spam;56
15087;758215;06-01-08;imagenes;34
15088;70096;11-01-27;spam;53
15089;515859;17-04-21;audio;38
15090;455709;90-03-10;video;71
15091;609093;82-07-16;video;78
15092;589301;14-10-25;video;17
15093;977495;11-09-19;audio;82
15094;959426;12-07-14;video;65
15095;109126;89-04-27;video;31
15096;523651;98-09-06;video;47
15097;66594;15-10-16;audio;88
15098;954325;61-11-02;spam;59
15099;867948;88-06-16;spam;32
15100;695554;09-09-22;imagenes;10
15101;446598;90-03-23;imagenes;36
15102;734461;81-02-01;spam;69
15103;914698;95-07-16;imagenes;86
15104;951390;13-08-06;spam;41
15105;529799;07-07-08;audio;27
15106;549191;95-07-08;video;21
15107;131070;79-07-27;video;71
15108;347348;18-08-08;imagenes;88
15109;238903;67-08-07;imagenes;75
15110;624760;85-12-07;imagenes;31
15111;431190;89-07-03;video;62
15112;853147;61-03-20;video;19
15113;787975;10-07-10;spam;80
15114;554315;05-10-06;video;76
15115;56543;85-04-27;spam;34
15116;490229;91-03-05;spam;1
15117;337130;03-10-18;audio;20
15118;269464;17-05-28;video;9
15119;573714;18-09-23;imagenes;54
15120;707833;80-03-30;audio;8
15121;625964;19-03-08;spam;4
15122;968549;10-03-11;video;64
15123;692300;90-12-31;audio;37
15124;646152;14-11-05;spam;35
15125;729554;18-08-01;video;42
15126;558246;81-05-09;audio;47
15127;358996;11-05-07;imagenes;3
15128;143614;18-11-19;spam;87
15129;916391;11-09-03;video;89
15130;669222;07-12-17;video;68
15131;837739;97-01-30;imagenes;53
15132;77262;18-07-20;video;84
15133;25855;08-12-30;audio;78
15134;354217;10-10-21;video;17
15135;627661;12-11-06;imagenes;6
15136;354445;82-02-19;imagenes;9
15137;951596;09-06-01;spam;41
15138;180271;15-08-27;spam;29
15139;550937;81-01-12;audio;44
15140;929217;95-07-02;imagenes;47
15141;950832;06-03-21;audio;27
15142;712558;02-05-27;video;34
15143;463908;13-01-14;audio;1
15144;299992;08-02-14;video;14
15145;83355;16-05-28;video;74
15146;121982;19-06-20;imagenes;73
15147;418998;12-05-08;spam;20
15148;971239;05-07-29;audio;65
15149;268948;19-08-07;audio;65
15150;878459;82-06-20;imagenes;12
15151;596263;14-05-08;spam;24
15152;135682;11-03-30;audio;59
15153;811989;17-06-11;imagenes;67
15154;653953;14-09-07;spam;40
15155;30651;79-09-13;video;47
15156;661725;90-05-14;audio;20
15157;998815;17-07-22;video;39
15158;250703;92-07-21;video;7
15159;223337;94-08-07;audio;60
15160;865600;19-08-20;video;69
15161;604707;04-02-29;video;68
15162;981825;18-01-04;spam;80
15163;148170;74-11-24;spam;86
15164;326274;16-04-19;imagenes;10
15165;87307;84-08-30;video;4
15166;373055;14-11-19;spam;3
15167;40125;92-05-11;imagenes;26
15168;306059;18-08-26;audio;52
15169;812634;99-06-07;audio;68
15170;474721;96-08-23;video;38
15171;702210;16-11-04;imagenes;7
15172;5876;83-09-19;imagenes;31
15173;212640;01-12-20;video;52
15174;478903;08-06-04;spam;56
15175;20172;98-08-05;audio;84
15176;84623;14-03-28;video;14
15177;812267;65-04-04;imagenes;64
15178;537778;11-04-16;video;51
15179;139217;13-08-06;video;61
15180;422840;82-10-24;video;15
15181;16688;75-06-12;video;15
15182;824982;01-12-09;spam;86
15183;375481;99-10-12;video;17
15184;993420;19-01-21;imagenes;10
15185;544320;03-12-12;imagenes;73
15186;820300;00-07-10;spam;71
15187;713868;03-12-17;audio;24
15188;265699;00-04-25;spam;39
15189;776795;75-10-31;imagenes;15
15190;581814;99-07-27;imagenes;20
15191;161405;13-05-28;video;26
15192;404542;00-02-11;spam;25
15193;383762;80-06-11;spam;48
15194;846865;11-05-16;spam;56
15195;43468;58-09-16;spam;29
15196;946092;03-09-25;spam;11
15197;252742;55-06-15;audio;12
15198;46739;94-09-15;video;49
15199;138183;15-05-12;imagenes;87
15200;18165;59-09-03;audio;11
15201;666599;13-04-22;audio;66
15202;857277;08-08-27;spam;54
15203;457309;18-12-14;audio;68
15204;976799;15-03-24;video;9
15205;984247;72-01-28;spam;34
15206;935875;88-12-29;video;50
15207;797591;09-11-10;audio;77
15208;227042;14-06-19;imagenes;9
15209;314631;66-01-10;video;6
15210;398797;93-02-22;video;34
15211;955862;89-02-20;imagenes;2
15212;330932;07-10-06;imagenes;62
15213;302438;73-04-11;imagenes;87
15214;631683;71-04-08;imagenes;35
15215;759593;92-02-08;spam;33
15216;18828;04-11-11;video;32
15217;821870;12-06-23;video;84
15218;443610;02-09-15;imagenes;50
15219;750062;73-07-22;imagenes;51
15220;511490;18-07-07;spam;72
15221;683526;94-08-31;video;20
15222;207303;75-11-11;imagenes;18
15223;860554;16-05-29;spam;21
15224;116579;97-03-13;imagenes;34
15225;804419;97-08-10;audio;23
15226;702827;09-06-25;video;70
15227;649759;16-07-28;imagenes;17
15228;66501;97-03-29;spam;6
15229;623271;98-08-09;audio;3
15230;842016;76-05-28;audio;32
15231;609668;97-11-14;imagenes;2
15232;961482;58-12-25;spam;88
15233;674173;81-07-02;video;12
15234;605259;13-04-16;imagenes;26
15235;894218;58-06-16;imagenes;70
15236;315807;69-09-12;spam;62
15237;192176;71-01-13;video;41
15238;758361;18-02-27;video;62
15239;260363;99-01-28;spam;2
15240;738407;16-09-18;imagenes;74
15241;778367;90-06-24;video;75
15242;330806;09-01-22;imagenes;82
15243;180284;06-02-01;spam;34
15244;487850;18-08-28;audio;45
15245;514417;19-04-16;spam;56
15246;125629;15-04-18;video;52
15247;909602;15-11-16;spam;73
15248;3963;61-07-13;imagenes;86
15249;109882;77-10-05;imagenes;52
15250;39036;15-11-16;spam;55
15251;285716;04-08-22;video;32
15252;999654;18-11-17;imagenes;48
15253;424779;86-12-06;imagenes;19
15254;984149;12-09-11;video;54
15255;301933;96-11-14;spam;69
15256;621274;90-10-12;spam;4
15257;386935;06-05-01;spam;59
15258;543642;96-03-04;audio;26
15259;465363;13-05-13;spam;77
15260;121366;54-07-08;spam;56
15261;533632;92-01-30;imagenes;37
15262;848655;12-03-03;audio;36
15263;399908;11-05-29;audio;58
15264;915498;17-01-09;imagenes;66
15265;4427;15-12-15;video;25
15266;787745;75-05-19;audio;18
15267;988370;19-02-28;spam;26
15268;287310;52-10-18;imagenes;84
15269;3665;12-09-12;audio;22
15270;462729;17-05-03;audio;28
15271;842681;10-12-02;video;60
15272;531561;11-12-22;video;56
15273;225066;95-01-12;imagenes;1
15274;441681;74-06-05;spam;58
15275;269198;94-02-20;audio;82
15276;508;94-01-04;video;28
15277;497177;19-08-18;audio;52
15278;1289;16-08-27;audio;12
15279;611318;94-11-16;audio;86
15280;655138;08-06-03;imagenes;14
15281;203430;09-03-11;audio;63
15282;905989;13-01-12;audio;40
15283;396816;09-02-23;audio;66
15284;326622;04-07-06;spam;68
15285;560736;89-10-23;imagenes;5
15286;433002;73-05-19;audio;66
15287;725546;91-10-15;audio;89
15288;987335;98-11-20;spam;28
15289;65321;16-10-02;audio;47
15290;236100;82-03-01;video;69
15291;624976;19-06-06;imagenes;7
15292;252175;18-02-09;spam;71
15293;641285;81-06-22;audio;10
15294;665600;67-04-22;spam;3
15295;114771;12-11-13;spam;85
15296;703079;99-09-22;imagenes;27
15297;458645;12-12-26;audio;12
15298;359999;18-08-13;spam;78
15299;106445;74-12-21;imagenes;68
15300;259933;16-11-17;spam;23
15301;484129;09-03-21;spam;36
15302;968058;17-11-25;video;11
15303;997714;17-10-08;spam;36
15304;328928;90-01-10;spam;88
15305;564375;04-08-01;imagenes;75
15306;378412;91-02-28;spam;51
15307;312150;06-10-08;audio;55
15308;342944;91-04-07;audio;76
15309;479662;18-08-19;audio;45
15310;690010;87-11-16;video;68
15311;225229;07-08-03;spam;24
15312;979656;04-11-13;spam;43
15313;986537;02-07-31;spam;63
15314;652894;08-01-24;video;14
15315;357988;14-05-26;spam;55
15316;26658;80-04-23;imagenes;23
15317;175986;99-01-09;video;17
15318;206625;15-05-22;imagenes;64
15319;121780;04-07-18;imagenes;41
15320;955660;65-04-12;imagenes;2
15321;844031;04-12-28;spam;81
15322;607316;90-08-14;video;14
15323;875946;72-04-10;imagenes;10
15324;578867;86-07-20;imagenes;69
15325;794890;09-02-26;audio;31
15326;963052;18-08-23;imagenes;45
15327;734008;02-05-28;audio;65
15328;373371;15-10-31;audio;82
15329;513133;00-06-06;audio;86
15330;590272;16-11-09;audio;44
15331;174527;93-11-22;spam;31
15332;228304;17-04-10;audio;81
15333;903761;90-02-19;video;13
15334;327219;60-03-30;audio;26
15335;845249;06-06-07;video;22
15336;337317;77-03-03;spam;6
15337;185815;79-03-15;imagenes;28
15338;583126;77-05-11;spam;67
15339;179421;99-08-05;audio;1
15340;238104;79-04-03;spam;82
15341;242358;00-10-10;imagenes;76
15342;540037;18-05-14;spam;40
15343;772272;11-03-27;video;7
15344;399421;90-06-24;spam;29
15345;904324;87-06-15;spam;52
15346;637615;81-03-19;audio;49
15347;146790;92-07-20;audio;87
15348;820218;19-05-27;audio;43
15349;908925;84-01-17;audio;81
15350;968677;06-06-13;spam;65
15351;765328;14-07-24;video;8
15352;463240;92-05-26;video;85
15353;559460;03-08-31;imagenes;82
15354;849397;17-10-26;audio;25
15355;690629;03-02-27;audio;46
15356;488753;16-11-25;spam;76
15357;799294;18-03-30;audio;57
15358;74197;17-06-19;audio;50
15359;952915;11-08-28;audio;57
15360;70085;17-03-17;video;80
15361;770490;16-06-06;spam;73
15362;839458;08-02-26;imagenes;70
15363;891059;06-12-13;spam;76
15364;754689;15-09-26;audio;74
15365;29494;15-01-21;spam;59
15366;969153;08-09-23;video;17
15367;230548;16-11-27;spam;73
15368;460240;93-12-22;imagenes;22
15369;833109;11-09-27;imagenes;54
15370;980068;78-02-10;audio;34
15371;578549;06-08-13;spam;19
15372;263894;19-07-24;audio;78
15373;376888;14-03-16;imagenes;55
15374;176046;17-08-10;audio;29
15375;57524;11-07-23;imagenes;39
15376;402225;81-05-05;audio;46
15377;935015;18-06-23;audio;42
15378;127467;85-06-17;imagenes;53
15379;177836;12-08-19;imagenes;66
15380;599777;19-07-17;video;66
15381;921615;17-02-05;video;22
15382;795628;94-01-23;video;87
15383;284626;87-10-23;imagenes;1
15384;763748;92-07-01;audio;37
15385;268103;02-04-01;spam;50
15386;201205;16-04-21;audio;9
15387;454483;89-09-21;spam;58
15388;685402;95-03-09;imagenes;42
15389;902603;07-02-12;video;22
15390;87763;18-11-14;imagenes;37
15391;193789;88-10-04;imagenes;82
15392;930588;97-05-27;imagenes;76
15393;172666;73-03-29;video;84
15394;186978;16-04-12;video;78
15395;754342;03-03-20;audio;45
15396;820179;18-01-27;spam;50
15397;349894;11-05-30;audio;39
15398;536150;02-08-17;video;66
15399;891169;67-01-18;audio;12
15400;374515;06-05-19;audio;45
15401;316749;15-06-15;video;73
15402;338666;85-12-11;video;45
15403;151537;13-02-15;spam;12
15404;904668;68-01-28;video;4
15405;389962;18-01-17;audio;31
15406;902006;18-02-01;spam;79
15407;504180;00-02-24;spam;7
15408;815717;83-08-07;spam;61
15409;859628;91-11-09;imagenes;50
15410;96209;94-06-24;imagenes;7
15411;997614;07-04-17;imagenes;7
15412;507771;98-07-31;audio;78
15413;666202;87-06-26;audio;66
15414;562476;14-05-10;audio;8
15415;501994;11-08-12;video;85
15416;476412;03-02-19;audio;7
15417;6919;00-08-23;imagenes;58
15418;702585;12-08-18;audio;61
15419;136065;00-06-18;spam;77
15420;93385;05-02-09;audio;20
15421;52013;90-03-18;audio;73
15422;780369;93-05-04;imagenes;13
15423;24871;06-06-04;imagenes;3
15424;448783;09-02-17;imagenes;79
15425;885296;03-09-20;video;15
15426;247152;17-07-02;audio;57
15427;970441;12-11-10;spam;90
15428;690424;17-03-04;imagenes;25
15429;98488;96-11-13;audio;28
15430;254856;17-10-26;imagenes;54
15431;139411;74-03-16;imagenes;51
15432;950513;09-05-31;imagenes;11
15433;237839;00-05-19;imagenes;43
15434;63878;94-02-27;spam;19
15435;741939;63-07-17;audio;59
15436;111724;11-04-29;imagenes;48
15437;34516;17-12-21;spam;44
15438;549700;13-04-22;imagenes;47
15439;547689;99-08-30;imagenes;74
15440;236061;07-01-30;imagenes;66
15441;224275;19-08-31;imagenes;63
15442;861262;10-02-10;imagenes;36
15443;876549;12-08-06;video;49
15444;398813;05-04-06;imagenes;89
15445;272091;14-10-25;audio;77
15446;538467;16-03-24;spam;65
15447;841592;18-03-16;audio;43
15448;477111;90-01-21;video;52
15449;680688;05-01-16;audio;32
15450;562265;16-11-06;video;52
15451;308215;10-07-23;video;74
15452;886108;17-10-30;audio;1
15453;339229;74-11-12;audio;13
15454;362183;80-05-23;video;84
15455;464023;06-02-25;video;85
15456;982387;09-11-08;video;25
15457;941728;66-12-03;spam;21
15458;188482;16-02-11;video;57
15459;239996;19-06-10;spam;69
15460;356932;01-03-08;video;46
15461;522659;07-10-10;spam;24
15462;659664;60-01-08;spam;58
15463;871419;15-12-15;video;3
15464;623354;13-06-09;audio;35
15465;751187;07-10-06;audio;20
15466;800114;63-07-04;audio;17
15467;102438;03-01-01;video;75
15468;13890;02-07-12;imagenes;73
15469;402082;60-08-02;audio;54
15470;84767;16-05-17;audio;25
15471;238920;98-02-15;video;51
15472;204796;09-01-31;video;88
15473;984450;90-07-26;video;51
15474;821317;56-02-14;imagenes;36
15475;55548;99-07-25;video;67
15476;811943;19-02-22;audio;22
15477;783367;19-07-31;audio;83
15478;11884;11-08-15;imagenes;6
15479;412826;00-02-25;spam;26
15480;196123;91-04-08;audio;80
15481;319550;17-10-27;audio;5
15482;500611;81-09-03;audio;38
15483;728714;96-05-19;video;48
15484;599298;08-01-02;spam;35
15485;538878;16-05-29;audio;20
15486;981551;19-04-21;video;38
15487;152899;18-10-30;imagenes;4
15488;201254;95-04-16;audio;37
15489;675220;15-06-27;audio;3
15490;792179;06-09-08;audio;32
15491;834850;94-10-13;audio;38
15492;756509;09-07-03;video;8
15493;103082;18-06-16;spam;68
15494;454249;51-10-29;imagenes;31
15495;706883;18-12-10;video;2
15496;994935;74-03-11;imagenes;30
15497;540199;13-07-27;audio;37
15498;73412;19-05-19;spam;16
15499;879910;13-03-01;imagenes;65
15500;764443;13-07-27;imagenes;89
15501;798343;15-09-03;imagenes;9
15502;768772;17-06-24;audio;15
15503;865128;18-11-15;imagenes;68
15504;516393;05-04-27;imagenes;13
15505;853624;71-11-07;audio;76
15506;741907;11-11-10;spam;26
15507;568949;92-10-08;video;52
15508;144876;01-09-04;spam;80
15509;295056;15-05-13;spam;63
15510;574508;08-01-16;imagenes;14
15511;758996;81-03-31;audio;10
15512;559152;16-09-23;audio;20
15513;182445;17-06-25;audio;10
15514;54224;78-01-09;audio;36
15515;403575;19-03-18;video;33
15516;991573;19-06-17;imagenes;83
15517;52424;06-02-03;imagenes;54
15518;282313;11-12-04;imagenes;9
15519;402973;10-12-15;spam;2
15520;509417;01-03-31;spam;65
15521;353696;71-07-21;spam;18
15522;294633;97-07-01;spam;73
15523;75668;93-09-11;imagenes;11
15524;1694;16-07-29;spam;25
15525;685555;82-06-01;audio;77
15526;979890;18-12-17;imagenes;15
15527;344083;99-06-25;audio;67
15528;871146;18-04-23;imagenes;7
15529;417882;17-06-26;audio;23
15530;873988;99-06-14;video;45
15531;42169;93-02-01;audio;42
15532;375721;09-08-28;audio;54
15533;875432;95-07-25;video;21
15534;967344;90-01-06;video;29
15535;504202;03-03-20;spam;50
15536;331741;96-04-09;audio;3
15537;680017;03-06-02;audio;65
15538;689115;04-10-03;video;11
15539;334768;08-06-04;video;90
15540;728839;96-11-05;spam;12
15541;321464;87-11-28;spam;18
15542;147792;97-06-16;audio;6
15543;87987;65-01-27;imagenes;70
15544;314219;15-08-28;video;82
15545;486290;88-12-29;audio;31
15546;784251;79-04-10;spam;75
15547;406715;80-06-11;imagenes;70
15548;278037;94-09-20;spam;36
15549;153382;17-04-21;spam;1
15550;109369;00-11-12;video;14
15551;317717;06-03-31;video;85
15552;482734;96-09-26;imagenes;1
15553;354812;02-02-13;audio;38
15554;371542;82-08-28;spam;87
15555;936142;10-06-25;audio;56
15556;277248;08-10-21;audio;17
15557;92277;18-08-19;imagenes;87
15558;812623;09-05-28;imagenes;70
15559;924352;14-02-15;spam;56
15560;772312;81-11-04;imagenes;47
15561;799012;76-04-29;audio;5
15562;834611;98-06-22;spam;54
15563;437012;80-12-16;spam;58
15564;928268;14-12-27;video;43
15565;839615;60-12-20;imagenes;43
15566;259034;67-03-25;audio;58
15567;227203;92-03-06;spam;30
15568;224997;00-12-22;imagenes;16
15569;769920;06-07-07;video;68
15570;392946;99-11-01;audio;59
15571;395418;97-07-01;imagenes;76
15572;249936;88-11-03;imagenes;8
15573;739922;13-10-08;imagenes;31
15574;736880;81-01-15;spam;87
15575;26862;18-11-18;video;70
15576;703929;10-09-27;spam;24
15577;496750;75-07-19;imagenes;32
15578;430391;14-07-09;spam;19
15579;475884;08-11-18;imagenes;63
15580;933495;88-11-18;imagenes;68
15581;262808;18-07-03;video;37
15582;148768;15-02-26;audio;41
15583;362193;96-02-11;audio;51
15584;674817;01-10-19;imagenes;16
15585;705946;07-06-19;audio;31
15586;185204;86-08-17;audio;43
15587;222547;80-06-22;spam;65
15588;587784;65-06-23;imagenes;29
15589;228596;13-12-29;imagenes;20
15590;502399;93-09-30;audio;73
15591;890009;12-01-20;imagenes;37
15592;291206;16-10-12;imagenes;33
15593;27327;10-02-26;imagenes;13
15594;279387;14-09-26;audio;50
15595;480099;05-12-05;video;89
15596;515293;17-08-04;spam;16
15597;336516;78-10-01;audio;27
15598;922135;90-06-27;audio;46
15599;166081;02-05-28;audio;21
15600;997796;93-04-05;video;48
15601;66086;67-03-05;audio;51
15602;651966;83-01-27;imagenes;44
15603;458038;93-04-14;spam;82
15604;520275;16-04-10;video;59
15605;128136;02-01-11;imagenes;22
15606;898707;11-05-01;spam;68
15607;442488;82-01-08;imagenes;83
15608;289888;13-12-19;spam;49
15609;359177;89-06-07;video;36
15610;117293;08-10-10;video;40
15611;94918;80-02-09;spam;88
15612;214136;94-06-19;spam;57
15613;371812;07-02-09;audio;63
15614;426252;04-12-31;spam;14
15615;213304;18-06-18;imagenes;79
15616;699968;19-06-18;audio;9
15617;516654;16-10-28;video;90
15618;321077;97-05-08;imagenes;88
15619;102969;09-07-26;audio;50
15620;66812;17-05-29;audio;40
15621;775908;18-01-28;imagenes;78
15622;344591;14-03-04;video;17
15623;702549;18-08-09;video;39
15624;461114;94-04-06;video;65
15625;659887;18-08-11;audio;55
15626;404506;17-12-01;imagenes;82
15627;274337;08-12-19;audio;65
15628;676644;16-10-13;spam;41
15629;779050;82-07-26;imagenes;15
15630;59820;19-06-18;video;63
15631;951404;91-11-16;audio;68
15632;891748;83-12-26;video;4
15633;458121;02-01-09;video;27
15634;393357;95-05-09;spam;85
15635;341941;77-08-22;audio;33
15636;912583;89-02-08;imagenes;38
15637;882705;13-06-15;video;23
15638;938963;13-12-09;imagenes;29
15639;652561;05-01-31;spam;39
15640;762057;08-07-26;imagenes;80
15641;100092;02-02-02;audio;88
15642;788419;89-11-09;spam;52
15643;916105;09-12-21;imagenes;25
15644;786636;18-04-08;spam;4
15645;807597;91-02-20;audio;72
15646;111149;08-12-15;video;77
15647;767899;04-12-23;imagenes;17
15648;558397;15-11-26;audio;49
15649;451968;03-01-30;audio;75
15650;590819;13-06-03;spam;63
15651;770254;12-05-09;imagenes;24
15652;943657;74-04-25;audio;14
15653;356255;62-08-17;imagenes;77
15654;855457;96-08-06;video;29
15655;540832;87-06-07;spam;71
15656;928639;03-12-13;audio;41
15657;242833;09-12-24;spam;27
15658;903084;19-04-27;spam;60
15659;270247;09-10-23;spam;89
15660;487846;80-03-27;imagenes;61
15661;746436;05-12-29;imagenes;32
15662;678910;12-10-18;imagenes;8
15663;669148;99-08-09;spam;60
15664;618364;16-08-18;video;28
15665;407793;96-04-30;imagenes;82
15666;357666;99-04-28;spam;26
15667;888689;83-08-10;imagenes;42
15668;116980;91-05-12;audio;79
15669;411664;10-04-06;imagenes;88
15670;297551;14-12-07;audio;81
15671;567780;92-06-05;spam;59
15672;928241;88-02-29;imagenes;73
15673;610294;05-12-03;audio;27
15674;633049;95-11-29;video;85
15675;485416;06-04-30;spam;47
15676;748007;63-01-15;audio;27
15677;438530;81-03-29;audio;15
15678;419355;98-06-09;video;87
15679;794704;97-05-02;video;4
15680;599643;61-09-02;video;71
15681;193601;19-08-05;audio;41
15682;133790;03-11-10;spam;59
15683;13590;93-11-05;imagenes;80
15684;297197;16-03-16;spam;36
15685;42749;87-07-30;imagenes;38
15686;361139;17-10-24;spam;79
15687;269518;05-01-28;spam;72
15688;445763;06-04-24;imagenes;40
15689;41150;12-01-25;spam;76
15690;429244;16-11-28;spam;71
15691;607803;69-08-19;audio;87
15692;94869;18-11-11;imagenes;5
15693;697691;10-01-07;video;8
15694;537207;10-08-23;imagenes;40
15695;360285;13-08-11;spam;71
15696;567525;94-06-13;spam;14
15697;28660;14-12-22;video;19
15698;249110;96-06-04;video;72
15699;64546;13-01-26;spam;36
15700;340875;16-04-21;imagenes;38
15701;114900;05-10-27;spam;67
15702;262802;11-04-26;spam;58
15703;694020;18-12-25;imagenes;65
15704;924464;19-07-14;imagenes;43
15705;232197;01-09-02;audio;36
15706;146249;16-12-31;imagenes;3
15707;708566;17-03-01;video;4
15708;985883;89-03-20;spam;27
15709;909537;90-12-13;spam;3
15710;982038;13-10-22;spam;53
15711;583411;80-07-13;video;54
15712;20330;13-09-08;spam;30
15713;101054;08-04-01;spam;72
15714;958213;08-05-03;spam;89
15715;15841;15-03-21;spam;11
15716;255975;95-09-28;spam;7
15717;824364;19-03-15;spam;82
15718;108523;87-03-06;video;86
15719;203747;18-01-02;imagenes;7
15720;595020;06-10-15;audio;22
15721;34042;89-12-18;audio;45
15722;62921;09-09-04;video;64
15723;462913;94-11-20;imagenes;87
15724;388663;17-10-21;imagenes;31
15725;756083;99-07-24;video;58
15726;820798;16-09-04;spam;27
15727;275128;15-09-18;video;10
15728;202285;97-10-30;audio;70
15729;560590;05-02-16;imagenes;39
15730;363471;86-10-25;audio;50
15731;826129;06-10-05;imagenes;17
15732;684167;14-01-23;audio;34
15733;806825;90-05-08;video;65
15734;346649;05-05-14;audio;51
15735;796339;98-01-15;video;53
15736;528654;93-01-29;spam;44
15737;609598;76-07-31;video;55
15738;123456;05-12-26;audio;80
15739;551008;07-02-16;imagenes;55
15740;815988;00-09-04;spam;62
15741;177952;05-04-04;spam;47
15742;398680;69-10-12;video;85
15743;940006;92-09-24;video;51
15744;555504;07-10-16;audio;2
15745;187900;00-08-22;audio;30
15746;389981;81-02-28;video;73
15747;887500;90-03-06;imagenes;56
15748;917749;10-04-25;imagenes;17
15749;335018;98-04-27;video;42
15750;223800;08-09-05;spam;41
15751;42576;99-02-09;imagenes;3
15752;533583;01-06-09;spam;64
15753;64398;06-09-22;video;4
15754;510351;16-03-30;spam;24
15755;907877;99-07-27;video;25
15756;310146;82-03-30;audio;20
15757;390775;18-10-08;video;49
15758;561718;71-06-20;audio;83
15759;652361;97-01-06;imagenes;61
15760;102467;73-04-01;audio;89
15761;828207;07-08-29;imagenes;61
15762;97125;01-05-05;video;38
15763;618247;10-09-06;audio;70
15764;882236;93-07-07;imagenes;75
15765;918496;03-09-01;imagenes;6
15766;922703;10-05-02;spam;88
15767;361782;82-07-07;audio;30
15768;311400;03-09-05;video;20
15769;657313;92-07-23;audio;40
15770;99525;02-07-03;spam;90
15771;866921;08-11-27;spam;56
15772;216448;09-03-23;video;10
15773;464481;85-04-17;audio;27
15774;226631;00-01-04;spam;22
15775;624055;02-10-28;spam;76
15776;854028;66-06-24;video;77
15777;924150;93-03-17;audio;18
15778;211084;16-06-19;imagenes;65
15779;108523;05-03-06;video;26
15780;115780;13-09-22;spam;28
15781;630192;12-04-07;imagenes;45
15782;593039;03-05-23;audio;38
15783;420736;76-08-12;imagenes;29
15784;871538;13-07-27;spam;17
15785;960774;03-03-25;audio;65
15786;612052;05-08-11;audio;33
15787;225536;17-03-20;spam;28
15788;791204;84-10-11;video;36
15789;755090;79-03-03;imagenes;9
15790;511961;15-09-01;imagenes;23
15791;152421;84-08-12;video;80
15792;835229;18-03-23;video;28
15793;3514;19-01-19;video;43
15794;518082;75-10-17;spam;17
15795;603456;79-10-04;audio;65
15796;411447;12-06-06;imagenes;89
15797;735552;03-12-03;imagenes;16
15798;576960;96-08-02;spam;47
15799;735325;96-11-25;imagenes;79
15800;146349;96-03-30;video;33
15801;875050;19-03-03;video;50
15802;413075;16-04-06;spam;12
15803;287120;18-03-29;spam;3
15804;473047;89-10-11;audio;24
15805;690836;19-04-23;audio;37
15806;105036;06-08-03;audio;58
