número;región de tramitación;comuna de tramitación
31569-97764-ID;VIII del Bío-Bío;Nacimiento
51931-4621-AL;VI del Libertador General Bernardo O'Higgins;Pichidegua
82821-9653-IL;VI del Libertador General Bernardo O'Higgins;Olivar
54678-7991-BD;Metropolitana de Santiago;Lo Prado
19015-83580-IH;II de Antofagasta;Calama
39136-17233-HN;VI del Libertador General Bernardo O'Higgins;Graneros
88483-42850-OL;VII del Maule;Retiro
91451-79426-HN;IX de La Araucanía;Saavedra
24664-97780-FO;X de Los Lagos;Maullín
73886-44546-MF;Metropolitana de Santiago;Tiltil
97192-64062-AO;XVI de Ñuble;San Ignacio
15045-27259-FJ;VIII del Bío-Bío;Los Álamos
2515-70419-BK;X de Los Lagos;Futaleufú
2822-26741-BG;Metropolitana de Santiago;Peñalolén
74086-28599-NL;VII del Maule;Hualañé
87206-56691-GM;I de Tarapacá;Iquique
67907-91471-JI;XVI de Ñuble;Ninhue
27527-47716-IK;Metropolitana de Santiago;Alhué
44493-60653-BO;III de Atacama;Diego de Almagro
65366-46587-EL;VIII del Bío-Bío;Chiguayante
87180-19666-IF;IX de La Araucanía;Freire
99939-68279-JF;XII de Magallanes y de La Antártica Chilena;Laguna Blanca
72733-88690-FH;VII del Maule;San Rafael
33426-96929-BL;VI del Libertador General Bernardo O'Higgins;Chimbarongo
91055-2425-AN;V de Valparaíso;Calera
314-8182-HI;IV de Coquimbo;Salamanca
74539-38234-JK;X de Los Lagos;Palena
42300-42306-GD;XV de Arica y Parinacota;Camarones
99914-80641-FK;IX de La Araucanía;Lonquimay
84184-36811-OM;XIV de Los Ríos;Futrono
93640-42901-JL;XIV de Los Ríos;Futrono
23813-70951-DA;X de Los Lagos;Quinchao
13715-63027-LB;X de Los Lagos;Quellón
64706-42638-JA;V de Valparaíso;Villa Alemana
40424-47863-HD;VII del Maule;Pelarco
35774-44847-IM;XII de Magallanes y de La Antártica Chilena;Río Verde
48395-29381-BE;I de Tarapacá;Pozo Almonte
6039-46278-DM;X de Los Lagos;Llanquihue
4395-52016-DM;VII del Maule;Pencahue
73534-90231-HI;V de Valparaíso;Llaillay
49811-4830-BB;VIII del Bío-Bío;Santa Juana
84778-14286-BI;VII del Maule;Pelarco
17580-89623-OM;Metropolitana de Santiago;Maipú
15489-36709-BL;Metropolitana de Santiago;Lo Prado
52703-52793-AN;X de Los Lagos;Purranque
74694-31348-GD;V de Valparaíso;Rinconada
52284-16837-NN;XV de Arica y Parinacota;Arica
54956-80049-BJ;XIV de Los Ríos;Futrono
51783-24718-HB;VII del Maule;Colbún
15484-55884-AB;VIII del Bío-Bío;Laja
44898-65648-NL;XIV de Los Ríos;Futrono
24000-80875-LO;X de Los Lagos;Maullín
40730-73518-GG;IV de Coquimbo;Punitaqui
47842-38319-FL;VI del Libertador General Bernardo O'Higgins;Palmilla
70840-46159-IA;Metropolitana de Santiago;Lo Prado
95619-82163-MF;VIII del Bío-Bío;Penco
36328-56110-OF;X de Los Lagos;Queilén
77044-72351-BI;IV de Coquimbo;Illapel
36292-25733-IJ;VIII del Bío-Bío;Cabrero
74461-72782-EB;IX de La Araucanía;Nueva Imperial
16503-37302-BD;V de Valparaíso;El Tabo
772-77603-DB;VII del Maule;Chanco
18642-73174-BB;VI del Libertador General Bernardo O'Higgins;Las Cabras
17228-3064-MM;VIII del Bío-Bío;Nacimiento
27069-62591-KF;VIII del Bío-Bío;Cañete
27015-10665-IE;V de Valparaíso;Cabildo
43955-80754-BH;VII del Maule;Hualañé
46089-64886-FD;VI del Libertador General Bernardo O'Higgins;La Estrella
3745-30024-FG;Metropolitana de Santiago;Lo Espejo
77927-41652-AE;X de Los Lagos;Río Negro
30984-62661-BH;VII del Maule;Constitución
99473-82631-BE;VII del Maule;Rauco
46312-65664-OI;VII del Maule;Colbún
90429-36681-LM;VI del Libertador General Bernardo O'Higgins;Peralillo
56670-69690-NE;IX de La Araucanía;Melipeuco
94976-35914-BB;VII del Maule;Romeral
53700-56432-IB;XI de Aysén del General Carlos Ibáñez del Campo;Tortel
23502-8803-NH;VII del Maule;Licantén
92110-70853-KK;VII del Maule;Parral
87920-12322-GM;Metropolitana de Santiago;San Bernardo
95580-80242-AG;IX de La Araucanía;Traiguén
17794-88455-NG;Metropolitana de Santiago;Paine
75641-27577-KE;VIII del Bío-Bío;Alto Biobío
11698-17269-GG;X de Los Lagos;Dalcahue
70803-2500-FA;Metropolitana de Santiago;La Reina
73341-28996-HD;VII del Maule;Teno
37724-4760-EE;IX de La Araucanía;Padre Las Casas
29414-34696-KF;Metropolitana de Santiago;Huechuraba
37166-48188-KE;Metropolitana de Santiago;Vitacura
51806-27866-EI;IX de La Araucanía;Nueva Imperial
76889-13160-GM;Metropolitana de Santiago;Macul
83687-78588-BF;VII del Maule;Pelarco
40525-27952-FH;VIII del Bío-Bío;Curanilahue
73600-83049-BK;XII de Magallanes y de La Antártica Chilena;Timaukel
87079-72213-HH;VIII del Bío-Bío;Cabrero
34823-55667-OO;Metropolitana de Santiago;La Florida
95381-11530-GD;VIII del Bío-Bío;Negrete
57366-40429-DK;Metropolitana de Santiago;Las Condes
50662-64907-DB;VIII del Bío-Bío;Quilleco
18261-63848-NB;XII de Magallanes y de La Antártica Chilena;Río Verde
46357-59986-GB;Metropolitana de Santiago;Providencia
23413-42861-IJ;IX de La Araucanía;Curacautín
37480-31228-AO;VIII del Bío-Bío;Coronel
29929-85963-DK;VI del Libertador General Bernardo O'Higgins;Coltauco
25617-27895-FI;Metropolitana de Santiago;Peñaflor
61983-62485-LB;VI del Libertador General Bernardo O'Higgins;Lolol
28904-6829-DK;V de Valparaíso;El Tabo
58413-913-LB;II de Antofagasta;Antofagasta
99665-71158-BK;IV de Coquimbo;Canela
99349-34993-EG;Metropolitana de Santiago;María Pinto
57206-54530-DD;III de Atacama;Chañaral
39648-21403-GH;VII del Maule;Pelarco
78898-94927-BN;XV de Arica y Parinacota;Camarones
51470-54280-LM;XV de Arica y Parinacota;Camarones
22773-32540-GK;VIII del Bío-Bío;Coronel
54323-48069-BB;VII del Maule;Curicó
92680-33292-ID;V de Valparaíso;Panquehue
54320-63443-IG;VII del Maule;Sagrada Familia
25560-62492-IF;II de Antofagasta;Antofagasta
34379-59717-IF;X de Los Lagos;Chaitén
48438-89200-AK;XI de Aysén del General Carlos Ibáñez del Campo;Chile Chico
9647-51110-IB;X de Los Lagos;Maullín
31250-53298-KD;V de Valparaíso;Quillota
73835-79618-GA;V de Valparaíso;Quintero
84402-80852-OF;VI del Libertador General Bernardo O'Higgins;Peumo
19834-44866-KH;V de Valparaíso;Calle Larga
44711-38611-NI;XII de Magallanes y de La Antártica Chilena;Primavera
3541-24866-GB;XI de Aysén del General Carlos Ibáñez del Campo;Chile Chico
83925-22949-MN;V de Valparaíso;Zapallar
70956-36162-DE;VI del Libertador General Bernardo O'Higgins;Palmilla
33429-60129-JB;IV de Coquimbo;Illapel
27617-49734-DG;XVI de Ñuble;Ninhue
35514-43848-JL;V de Valparaíso;Cartagena
25251-67670-BJ;Metropolitana de Santiago;San Ramón
56452-53818-KL;Metropolitana de Santiago;Santiago
74760-34547-AM;V de Valparaíso;Puchuncaví
1405-57352-FB;VIII del Bío-Bío;Lebu
85116-30876-JJ;VIII del Bío-Bío;Chiguayante
79002-3443-MF;I de Tarapacá;Colchane
73255-18796-LG;X de Los Lagos;Maullín
9382-11896-GJ;VII del Maule;Yerbas Buenas
86035-37342-LK;VIII del Bío-Bío;Cañete
13118-46964-NG;VI del Libertador General Bernardo O'Higgins;San Fernando
55754-40935-JM;X de Los Lagos;Osorno
87267-3789-AN;VI del Libertador General Bernardo O'Higgins;Placilla
54666-43312-HG;II de Antofagasta;Taltal
81692-78732-OD;V de Valparaíso;San Antonio
91497-47373-AM;II de Antofagasta;Sierra Gorda
42899-36013-BK;IX de La Araucanía;Pitrufquén
22449-69777-OL;V de Valparaíso;Cartagena
62769-48316-JL;XIV de Los Ríos;Lago Ranco
66157-28678-DB;XIV de Los Ríos;Futrono
72791-38993-ME;XVI de Ñuble;Ninhue
46376-64880-NE;VII del Maule;Vichuquén
9091-18322-DK;IX de La Araucanía;Pucón
25126-88571-NL;Metropolitana de Santiago;Curacaví
20138-63871-AF;VIII del Bío-Bío;Los Álamos
54255-53453-LH;II de Antofagasta;San Pedro de Atacama
19104-88446-DE;IX de La Araucanía;Galvarino
59065-2297-LD;II de Antofagasta;María Elena
65594-17989-BA;IV de Coquimbo;Vicuña
35094-94809-AN;VI del Libertador General Bernardo O'Higgins;Placilla
5606-48994-GG;IX de La Araucanía;Carahue
8832-44419-GO;II de Antofagasta;Mejillones
40701-75051-OF;VII del Maule;Vichuquén
99748-88333-OB;VIII del Bío-Bío;Quilaco
54278-71074-LM;VIII del Bío-Bío;Cañete
10405-3013-FB;XI de Aysén del General Carlos Ibáñez del Campo;Cisnes
78658-80170-BA;IX de La Araucanía;Cunco
25421-78810-EI;VI del Libertador General Bernardo O'Higgins;Quinta de Tilcoco
29342-43591-EJ;VII del Maule;Constitución
81320-70549-ED;VII del Maule;Pelluhue
89035-78027-BK;Metropolitana de Santiago;Cerrillos
77544-16087-ND;VI del Libertador General Bernardo O'Higgins;Pichidegua
52271-62239-NA;XIV de Los Ríos;Corral
20917-8392-BH;XVI de Ñuble;Ninhue
49914-18228-EO;VIII del Bío-Bío;Talcahuano
53092-57870-IK;VIII del Bío-Bío;Lota
83550-52886-EE;VIII del Bío-Bío;Laja
82175-37613-NA;IX de La Araucanía;Galvarino
39937-42231-KK;VII del Maule;Constitución
13731-33823-KG;VII del Maule;Curicó
46636-91960-GI;VI del Libertador General Bernardo O'Higgins;San Fernando
99131-22394-OE;XV de Arica y Parinacota;Camarones
81198-14020-OM;VI del Libertador General Bernardo O'Higgins;Marchihue
9775-26500-DB;XII de Magallanes y de La Antártica Chilena;Cabo de Hornos
22519-82571-EB;V de Valparaíso;San Antonio
75370-89021-KJ;VIII del Bío-Bío;Negrete
37596-86844-LJ;XIV de Los Ríos;Lanco
37932-93155-LH;VIII del Bío-Bío;Quilleco
6152-92269-OF;VI del Libertador General Bernardo O'Higgins;Quinta de Tilcoco
88027-9716-IG;VII del Maule;Romeral
70903-65750-FN;IX de La Araucanía;Lautaro
10362-83889-AB;VII del Maule;Hualañé
92927-6453-AJ;VIII del Bío-Bío;Lebu
55418-34133-KB;XI de Aysén del General Carlos Ibáñez del Campo;Guaitecas
26633-65881-KM;Metropolitana de Santiago;María Pinto
17149-38609-NJ;XIV de Los Ríos;Futrono
97380-26930-JD;VII del Maule;Villa Alegre
86135-37414-LK;IV de Coquimbo;Salamanca
16076-75777-HG;Metropolitana de Santiago;Recoleta
11641-34307-IJ;V de Valparaíso;Valparaíso
25509-30252-GB;VIII del Bío-Bío;Cañete
60895-66489-KM;Metropolitana de Santiago;Pedro Aguirre Cerda
73320-42264-KK;VIII del Bío-Bío;Chiguayante
40868-84822-MB;XIV de Los Ríos;Los Lagos
47853-21136-BD;IV de Coquimbo;Ovalle
90211-78689-NG;IX de La Araucanía;Temuco
1599-59083-NL;VIII del Bío-Bío;Cañete
1162-81244-BK;Metropolitana de Santiago;Padre Hurtado
98510-75106-MB;Metropolitana de Santiago;La Pintana
29042-69868-HM;VIII del Bío-Bío;Los Ángeles
78386-7425-LB;VI del Libertador General Bernardo O'Higgins;Las Cabras
37911-51049-GB;I de Tarapacá;Camiña
85214-87335-HK;IX de La Araucanía;Perquenco
83333-17784-OI;Metropolitana de Santiago;Huechuraba
26458-21930-AO;VII del Maule;Yerbas Buenas
43980-91445-GF;Metropolitana de Santiago;San Joaquín
3186-41407-HD;III de Atacama;Diego de Almagro
48895-50224-BO;VI del Libertador General Bernardo O'Higgins;Coinco
78748-19010-MO;XII de Magallanes y de La Antártica Chilena;Timaukel
48611-12240-LA;Metropolitana de Santiago;La Cisterna
49737-32319-EJ;X de Los Lagos;Curaco de Vélez
39077-17093-IO;XI de Aysén del General Carlos Ibáñez del Campo;Cisnes
95639-66226-KA;VIII del Bío-Bío;Talcahuano
42490-9549-FI;IX de La Araucanía;Purén
66203-16639-HB;Metropolitana de Santiago;San Miguel
18723-61185-NL;Metropolitana de Santiago;La Reina
41719-34380-HN;VI del Libertador General Bernardo O'Higgins;Rancagua
1671-13940-FB;XII de Magallanes y de La Antártica Chilena;Cabo de Hornos
47987-72458-NA;VI del Libertador General Bernardo O'Higgins;Santa Cruz
227-34265-AJ;X de Los Lagos;Queilén
62386-42264-KM;IX de La Araucanía;Pucón
68232-33256-BE;VII del Maule;Chanco
37574-50937-IO;Metropolitana de Santiago;Peñaflor
16168-65139-HL;Metropolitana de Santiago;Renca
68632-15702-BN;VI del Libertador General Bernardo O'Higgins;Pichilemu
70909-4295-FI;VIII del Bío-Bío;Curanilahue
54728-45409-MH;IX de La Araucanía;Temuco
50212-33116-MJ;II de Antofagasta;Sierra Gorda
65076-92515-FA;IX de La Araucanía;Teodoro Schmidt
45329-39965-FN;IX de La Araucanía;Temuco
45674-72204-LL;X de Los Lagos;Calbuco
1870-81037-GN;IX de La Araucanía;Lumaco
18116-27855-FA;VIII del Bío-Bío;Mulchén
7778-81018-OO;Metropolitana de Santiago;Pedro Aguirre Cerda
77220-5594-EM;IX de La Araucanía;Angol
67912-57970-FK;VII del Maule;Rauco
46798-97702-AB;Metropolitana de Santiago;Renca
60125-88020-EJ;IX de La Araucanía;Loncoche
15566-33961-IH;Metropolitana de Santiago;Ñuñoa
23331-39321-EA;XVI de Ñuble;Coihueco
8847-70563-GA;VII del Maule;Licantén
28067-87061-NJ;IX de La Araucanía;Los Sauces
78927-34906-AF;VI del Libertador General Bernardo O'Higgins;Lolol
76002-31884-HB;VI del Libertador General Bernardo O'Higgins;Coltauco
54269-7563-OD;VIII del Bío-Bío;Santa Juana
22419-89006-MN;II de Antofagasta;Sierra Gorda
24676-34240-MD;Metropolitana de Santiago;Pudahuel
58039-4526-DN;XIV de Los Ríos;La Unión
24514-730-FM;Metropolitana de Santiago;Santiago
47441-7383-NB;XIV de Los Ríos;La Unión
38134-8615-MK;X de Los Lagos;Chonchi
34535-21444-AL;XIV de Los Ríos;Panguipulli
23788-66193-BD;VI del Libertador General Bernardo O'Higgins;Coltauco
5201-79340-GL;XIV de Los Ríos;Panguipulli
31390-10675-JI;VIII del Bío-Bío;Tirúa
4969-92890-IE;XI de Aysén del General Carlos Ibáñez del Campo;Chile Chico
42776-48862-BA;VII del Maule;Pencahue
79438-70598-OA;VII del Maule;Villa Alegre
57815-21806-NN;V de Valparaíso;Villa Alemana
17949-48556-JA;Metropolitana de Santiago;Talagante
73862-79566-NH;VI del Libertador General Bernardo O'Higgins;Peralillo
95807-39882-EA;IX de La Araucanía;Loncoche
14105-17965-NF;IX de La Araucanía;Temuco
79531-56651-LH;Metropolitana de Santiago;La Granja
28917-93426-IO;X de Los Lagos;Curaco de Vélez
33889-6137-IM;IV de Coquimbo;Combarbalá
17642-79509-ME;XI de Aysén del General Carlos Ibáñez del Campo;Guaitecas
14031-50854-DI;VIII del Bío-Bío;Lota
12682-6172-OB;IX de La Araucanía;Pucón
92571-15775-IG;IX de La Araucanía;Curarrehue
31323-76681-FM;IX de La Araucanía;Purén
28515-47758-HA;III de Atacama;Tierra Amarilla
66801-89792-MN;Metropolitana de Santiago;Quilicura
65200-74601-FD;VIII del Bío-Bío;San Rosendo
5332-26842-JN;XVI de Ñuble;Cobquecura
19997-23211-BK;Metropolitana de Santiago;Independencia
72886-77263-II;Metropolitana de Santiago;Curacaví
22684-50841-DL;V de Valparaíso;Santo Domingo
74518-75950-BE;VII del Maule;Licantén
41314-95451-KA;VI del Libertador General Bernardo O'Higgins;Coltauco
96790-38945-EA;IX de La Araucanía;Pucón
88280-15844-GF;XI de Aysén del General Carlos Ibáñez del Campo;Aisén
89113-30145-NE;XI de Aysén del General Carlos Ibáñez del Campo;Tortel
26132-30243-HN;X de Los Lagos;Puqueldón
20495-64198-KA;V de Valparaíso;Santo Domingo
31612-27030-GN;IV de Coquimbo;Los Vilos
56633-55074-MH;VI del Libertador General Bernardo O'Higgins;Malloa
99687-54592-NF;Metropolitana de Santiago;Estación Central
183-53239-EB;VI del Libertador General Bernardo O'Higgins;Placilla
62248-78435-MK;IV de Coquimbo;Punitaqui
88104-35890-NB;VI del Libertador General Bernardo O'Higgins;San Vicente
73598-14413-EL;VI del Libertador General Bernardo O'Higgins;Mostazal
24053-31033-EH;VII del Maule;Curicó
17636-7621-BE;X de Los Lagos;Fresia
87414-9611-GL;VII del Maule;Pencahue
379-92160-JE;Metropolitana de Santiago;Pedro Aguirre Cerda
45806-17701-BD;VI del Libertador General Bernardo O'Higgins;Placilla
47238-166-AO;Metropolitana de Santiago;Conchalí
97851-38763-KB;V de Valparaíso;Calera
23059-52229-IO;VI del Libertador General Bernardo O'Higgins;Rengo
59766-622-AD;Metropolitana de Santiago;Conchalí
39629-99548-ID;X de Los Lagos;Frutillar
73961-74990-OI;VI del Libertador General Bernardo O'Higgins;Chépica
38445-14261-KI;VI del Libertador General Bernardo O'Higgins;Rancagua
8408-55431-HD;V de Valparaíso;Concón
49587-38492-AD;IX de La Araucanía;Lumaco
58310-81724-EM;VI del Libertador General Bernardo O'Higgins;La Estrella
77830-17261-AG;X de Los Lagos;Purranque
38317-81420-LK;II de Antofagasta;San Pedro de Atacama
13113-91204-IB;Metropolitana de Santiago;Huechuraba
19679-2578-IB;IX de La Araucanía;Pucón
88355-75891-DO;III de Atacama;Copiapó
18375-32934-HA;VII del Maule;Maule
43937-17188-FK;X de Los Lagos;Hualaihué
84781-76951-OM;IX de La Araucanía;Pucón
45717-64384-GE;Metropolitana de Santiago;Peñalolén
40917-85780-OG;X de Los Lagos;Chaitén
22569-85132-EO;IV de Coquimbo;Río Hurtado
25648-25070-ML;IX de La Araucanía;Carahue
62210-85464-BE;XVI de Ñuble;San Fabián
81340-3193-BF;VIII del Bío-Bío;Tucapel
69702-57651-GF;Metropolitana de Santiago;Cerrillos
20294-68376-MI;XII de Magallanes y de La Antártica Chilena;Natales
62438-58719-ID;VI del Libertador General Bernardo O'Higgins;San Vicente
98872-17698-DB;VI del Libertador General Bernardo O'Higgins;Chépica
87345-98996-FN;XII de Magallanes y de La Antártica Chilena;Torres del Paine
74850-85102-JH;X de Los Lagos;Castro
61716-54477-GH;II de Antofagasta;María Elena
35747-61648-GI;VII del Maule;Linares
91609-9651-NA;XII de Magallanes y de La Antártica Chilena;Río Verde
61991-14342-JD;IX de La Araucanía;Teodoro Schmidt
29882-86331-BE;VI del Libertador General Bernardo O'Higgins;Graneros
67925-92389-AM;III de Atacama;Caldera
63632-88004-NO;VI del Libertador General Bernardo O'Higgins;Coinco
36238-26381-HE;XIV de Los Ríos;Paillaco
4436-2326-IK;VI del Libertador General Bernardo O'Higgins;Palmilla
5930-54688-NB;X de Los Lagos;Río Negro
23452-61348-AE;V de Valparaíso;Santa María
86127-94020-IG;V de Valparaíso;Juan Fernández
98892-54684-KE;IV de Coquimbo;Combarbalá
52180-51755-OL;IV de Coquimbo;Coquimbo
15117-86590-BE;V de Valparaíso;Panquehue
59786-86883-MB;Metropolitana de Santiago;Estación Central
52501-35380-BA;IV de Coquimbo;Canela
11692-49599-EA;VIII del Bío-Bío;Florida
10297-96037-NB;XI de Aysén del General Carlos Ibáñez del Campo;Chile Chico
18699-22073-FF;VI del Libertador General Bernardo O'Higgins;Placilla
39740-33960-AE;VIII del Bío-Bío;Hualpén
44764-24421-FJ;XVI de Ñuble;Chillán
73187-45555-LG;IV de Coquimbo;La Higuera
18030-36968-NJ;XVI de Ñuble;Treguaco
5984-71414-FO;XVI de Ñuble;Cobquecura
58425-27924-AB;IV de Coquimbo;Vicuña
98541-33437-GD;VII del Maule;Teno
93856-11256-BG;I de Tarapacá;Iquique
78391-81266-OB;Metropolitana de Santiago;La Reina
55742-61902-DO;V de Valparaíso;Concón
89983-96348-DB;VIII del Bío-Bío;Florida
2253-23657-AK;Metropolitana de Santiago;Lampa
92284-59559-KK;IX de La Araucanía;Angol
70438-87893-EM;VII del Maule;Constitución
72863-84806-KE;VIII del Bío-Bío;Chiguayante
54164-4511-DB;IV de Coquimbo;Monte Patria
93353-20501-AB;XI de Aysén del General Carlos Ibáñez del Campo;O'Higgins
51938-21205-OJ;VIII del Bío-Bío;Talcahuano
40946-82076-LO;IX de La Araucanía;Victoria
43995-44394-MM;IX de La Araucanía;Traiguén
53774-66575-MB;VI del Libertador General Bernardo O'Higgins;Codegua
68709-17669-II;VII del Maule;San Clemente
67830-43035-BN;XI de Aysén del General Carlos Ibáñez del Campo;Lago Verde
71513-92419-OA;XVI de Ñuble;San Nicolás
3586-19278-BL;XV de Arica y Parinacota;Putre
66055-85336-ED;XIV de Los Ríos;Panguipulli
21728-78263-KG;VII del Maule;Villa Alegre
66706-39380-MO;Metropolitana de Santiago;Isla de Maipo
86519-36795-HK;V de Valparaíso;San Felipe
86680-48983-OI;IV de Coquimbo;Río Hurtado
22411-15947-FB;IX de La Araucanía;Purén
53761-16248-JH;XII de Magallanes y de La Antártica Chilena;Punta Arenas
8058-42696-HO;XVI de Ñuble;Coelemu
29773-34964-IA;VII del Maule;Maule
24797-33266-GO;Metropolitana de Santiago;Lo Prado
79431-80670-LF;VIII del Bío-Bío;Curanilahue
46358-99061-OO;XVI de Ñuble;Yungay
67745-25836-HO;IV de Coquimbo;Salamanca
78766-65377-ML;IV de Coquimbo;La Serena
1889-67972-MO;XVI de Ñuble;Chillán Viejo
