id_mov;presupuesto;fecha;n_esperado_personas;lugar
101;112145;11-11-28;172;6 Iowa Trail
102;24420;11-06-14;172;4040 East Drive
103;315037;04-06-25;173;204 Westport Lane
104;529625;00-10-12;174;8169 Red Cloud Place
105;458637;83-10-13;174;10 New Castle Park
106;605169;10-10-04;175;58 Declaration Lane
107;780752;85-04-23;176;35693 Pine View Circle
108;496614;03-07-22;176;240 Doe Crossing Hill
109;817510;99-03-28;182;07 Southridge Center
110;710709;90-03-23;183;2 Sunfield Way
111;385737;91-07-07;191;24 Sachtjen Alley
112;389909;96-03-15;192;9563 Bellgrove Road
113;461409;06-06-06;193;0545 Grayhawk Street
114;908452;88-11-01;194;5 Sauthoff Road
115;942236;68-12-16;194;60 Cascade Circle
116;736492;18-03-01;195;7982 Mallory Point
117;926743;93-04-10;198;421 Buhler Hill
118;976574;60-06-20;199;9069 Maywood Pass
119;79251;06-08-29;210;141 Upham Hill
120;777406;88-09-09;210;29114 Vera Court
121;230160;77-03-07;211;781 Heffernan Place
122;946597;14-01-30;213;44 Maple Court
123;447843;80-02-01;214;43921 Kedzie Place
124;723144;00-12-05;215;1 Dexter Way
125;682663;14-11-07;215;96 West Trail
126;350665;84-07-22;219;36 Northwestern Crossing
127;564173;16-03-30;220;50 Mcbride Hill
128;652013;12-08-01;220;045 Arrowood Alley
129;576558;17-12-06;221;7 West Point
130;692457;19-05-22;223;99 Lyons Road
131;262889;09-05-07;224;43921 Kedzie Place
132;24821;65-01-01;228;055 Roxbury Terrace
133;364827;06-08-15;232;9550 Portage Crossing
134;601901;07-05-20;232;42 Debs Lane
135;692067;17-11-01;233;65 Reinke Lane
136;734876;11-01-06;236;5 Carioca Parkway
137;276673;04-04-02;240;4 Manufacturers Crossing
138;679328;05-05-24;246;039 Menomonie Plaza
139;520034;87-12-04;248;065 Gateway Plaza
140;828568;69-07-14;250;249 Rowland Avenue
141;926475;17-04-13;253;299 Riverside Trail
142;240968;92-02-11;255;1 Dexter Way
143;975792;08-04-18;258;22 Hollow Ridge Crossing
144;939799;01-02-22;258;88 Anthes Avenue
145;962571;11-10-07;259;065 Gateway Plaza
146;898939;17-08-18;259;10930 Monument Crossing
147;811566;14-04-11;259;0214 Northridge Terrace
148;926797;16-10-01;259;7384 Memorial Terrace
149;592223;01-01-06;262;344 Victoria Place
150;10653;66-12-28;264;2030 Oriole Court
151;773427;92-06-01;266;2035 Sommers Avenue
152;27775;12-07-04;272;2 Loomis Place
153;363357;89-04-14;273;22451 Mifflin Hill
154;665865;17-10-07;275;37518 Ridgeway Pass
155;993842;99-10-13;276;7807 Darwin Court
156;935290;01-07-31;276;73806 Eggendart Junction
157;956519;15-10-17;281;8700 Kingsford Street
158;713103;18-12-18;283;4 New Castle Lane
159;493184;01-08-06;287;2 Lien Street
160;181265;17-07-20;295;5839 Fulton Avenue
161;806227;98-01-15;296;3 Canary Circle
162;573130;93-06-24;297;07492 Mallard Center
163;780611;03-12-27;297;73806 Eggendart Junction
164;313959;95-02-14;299;081 Northridge Lane
165;949836;15-04-08;301;139 Gale Alley
166;98225;00-07-27;306;3 Badeau Road
167;955728;96-04-28;307;854 Rigney Trail
168;822084;74-09-26;307;45332 Old Shore Place
169;105414;78-07-23;309;6 American Ash Terrace
170;760840;09-03-14;311;65 La Follette Drive
171;824305;15-09-08;313;9 Commercial Road
172;979402;04-01-12;317;66609 Basil Way
173;786557;84-06-02;317;60 Cascade Circle
174;627122;01-07-19;319;07492 Mallard Center
175;982029;18-02-22;321;828 Aberg Crossing
176;32295;02-02-27;322;99267 Lyons Parkway
177;303623;18-05-28;324;90 Farragut Circle
178;615539;08-04-25;325;825 Manitowish Circle
179;527348;19-01-18;325;100 Evergreen Pass
180;941869;13-02-07;327;0 Luster Lane
181;49108;74-10-19;327;5 Claremont Place
182;522572;61-09-01;328;6 Shopko Circle
183;630024;19-04-29;329;29 Granby Plaza
184;41469;02-06-14;329;73806 Eggendart Junction
185;569978;11-08-05;330;4176 Jay Way
186;167620;18-02-26;332;57 Sauthoff Avenue
187;592773;70-05-16;333;23 Valley Edge Avenue
188;337258;56-03-19;337;81407 Shopko Court
189;305138;90-03-05;338;5748 Pankratz Place
190;746307;84-12-21;338;8 Butternut Center
191;782458;07-01-02;339;0396 Morning Lane
192;879558;04-02-21;339;0 Luster Lane
193;331112;15-05-25;339;48 Becker Way
194;769633;87-05-25;340;4 Bowman Way
195;963249;07-10-18;343;11148 Daystar Pass
196;48377;19-02-10;344;299 Riverside Trail
197;361069;85-12-01;345;951 Reinke Road
198;911601;88-02-23;348;86527 Lukken Center
199;123569;16-03-19;348;141 Upham Hill
200;17884;09-12-19;349;07 Southridge Center
201;277494;13-03-12;350;3 Fairfield Terrace
202;75639;03-04-22;350;22179 Mayfield Terrace
203;721694;12-05-08;351;1 Fulton Way
204;99932;12-01-29;358;72 Delladonna Hill
205;209909;03-07-25;361;196 Londonderry Park
206;975101;93-11-07;362;680 2nd Point
207;723388;13-04-17;363;3 Vahlen Lane
208;441794;17-01-29;365;3 Canary Circle
209;197109;89-12-08;366;906 Melvin Street
210;298153;78-11-16;367;43921 Kedzie Place
211;701162;02-10-09;375;79764 Warbler Park
212;892751;59-05-16;378;0180 Mifflin Park
213;366439;03-05-21;380;7902 Upham Terrace
214;763667;05-07-27;382;24319 Heffernan Terrace
215;786188;81-10-23;382;4 Melby Crossing
216;603210;03-05-08;383;99272 Dennis Junction
217;257828;07-03-05;385;3 Corscot Lane
218;262770;02-02-23;390;24319 Heffernan Terrace
219;500632;99-07-19;390;90648 Melvin Street
220;877044;97-04-08;390;6840 Lotheville Avenue
221;644349;87-10-02;394;72 Kedzie Avenue
222;305930;10-06-29;397;72952 Porter Point
223;72431;89-02-07;406;55 Anzinger Alley
224;810542;82-02-08;406;3 Colorado Point
225;425327;10-07-04;407;5 Sauthoff Road
226;771954;07-11-30;408;3079 Scofield Crossing
227;166148;98-07-16;408;109 Prairieview Drive
228;607958;03-07-10;408;580 Eggendart Crossing
229;261982;03-08-22;410;2938 Algoma Pass
230;673993;16-11-02;411;25 Waubesa Place
231;809226;08-05-09;413;865 Hansons Alley
232;941084;12-03-25;413;59 Dahle Avenue
233;377810;03-08-10;414;3095 Portage Center
234;776276;11-05-23;416;90 Farragut Circle
235;900206;18-10-14;417;1 Eagle Crest Avenue
236;504463;75-02-06;417;828 Aberg Crossing
237;426981;16-09-11;425;65 Algoma Hill
238;616505;95-10-11;425;86527 Lukken Center
239;365970;00-08-10;429;426 Norway Maple Lane
240;552722;98-10-12;430;65274 Little Fleur Street
241;740014;13-03-03;432;75622 Merrick Terrace
242;498139;15-09-25;434;02 Bay Circle
243;71245;00-05-03;435;1015 Bluejay Street
244;931212;17-12-08;438;77152 Meadow Ridge Pass
245;611931;07-11-29;441;430 Crest Line Crossing
246;150389;14-03-04;441;9004 Lakeland Street
247;810501;86-08-15;442;1399 Huxley Park
248;999551;87-11-24;444;93524 High Crossing Pass
249;390120;19-04-29;444;4176 Jay Way
250;409946;73-01-15;444;9051 Rockefeller Way
251;886090;16-06-04;446;050 Crest Line Hill
252;776189;12-03-31;447;53 Veith Trail
253;171025;75-04-17;447;729 Bunting Crossing
254;262625;13-04-03;448;1480 Manitowish Park
255;990511;01-09-05;451;645 Kennedy Trail
256;993645;05-05-01;455;1027 Straubel Way
257;291405;04-08-01;458;31 Anniversary Pass
258;654495;94-11-28;459;395 Troy Trail
259;184662;18-03-24;461;02156 Kensington Terrace
260;549318;14-09-21;464;1 Meadow Vale Lane
261;617319;19-06-07;464;4 New Castle Lane
262;985318;94-11-05;465;84 Onsgard Way
263;118560;12-06-02;465;72952 Porter Point
264;26066;67-04-06;465;0 Logan Plaza
265;729834;18-05-10;466;4176 Jay Way
266;990838;86-10-23;468;893 Lawn Place
267;825605;91-07-22;470;66 Sherman Hill
268;30692;03-03-15;472;9 Goodland Center
269;348063;17-02-09;473;989 Mcguire Drive
270;30870;83-03-27;475;7982 Mallory Point
271;513335;97-07-22;475;0 Prairie Rose Place
272;823897;00-03-03;477;4069 Pepper Wood Street
273;701228;97-10-09;478;9 Commercial Road
274;483652;06-09-12;479;72952 Porter Point
275;20240;01-03-21;482;7 Esch Hill
276;619692;09-01-27;482;97 Mccormick Drive
277;658591;67-09-28;483;463 Fremont Way
278;141315;19-01-17;486;1795 Northwestern Place
279;607135;10-08-04;487;96 West Trail
280;777672;62-06-21;488;951 Reinke Road
281;953827;01-04-19;488;852 Continental Park
282;897281;79-05-07;488;93572 Crest Line Court
283;848122;17-04-28;495;833 Cody Avenue
284;535761;11-09-19;495;61074 Memorial Alley
285;166630;09-01-15;496;94 Novick Crossing
286;729355;70-02-15;499;3782 Corry Street
287;5489;15-11-02;502;721 Sheridan Trail
288;24700;19-03-25;504;370 Memorial Way
289;450806;12-04-23;504;5 Towne Avenue
290;260089;15-10-11;506;72 Delladonna Hill
291;295010;07-05-22;509;54644 Trailsway Street
292;145683;04-03-19;509;4740 Sutherland Parkway
293;174812;61-04-01;512;36 Goodland Crossing
294;920889;98-01-09;513;89 Chinook Street
295;7476;15-01-12;513;36 New Castle Park
296;27688;08-05-02;513;317 Porter Road
297;702944;91-06-26;513;0 Blaine Park
298;895301;16-02-04;515;306 Fuller Street
299;406450;15-07-11;516;4 Northview Street
300;759048;03-06-04;526;18251 Bayside Junction
301;459763;11-09-09;527;24 Cascade Hill
302;496157;16-12-10;528;10013 Vahlen Point
303;701256;05-04-20;528;08 Kedzie Way
304;265448;13-07-09;530;99 Maywood Center
305;48392;90-11-27;530;24 Forest Dale Parkway
306;901121;77-04-24;530;65 Reinke Lane
307;755515;93-01-26;542;1441 Fuller Park
308;952215;84-06-27;542;372 Sutherland Hill
309;119677;14-03-25;546;3 Emmet Center
310;951530;10-08-21;554;034 Everett Hill
311;511683;76-01-17;555;69 Killdeer Way
312;332161;09-06-30;556;98 Fieldstone Crossing
313;298473;06-11-22;558;93867 Corscot Plaza
314;975789;13-07-29;560;27 Emmet Drive
315;858575;98-02-05;562;24328 Everett Center
316;119688;15-04-09;565;01744 Granby Alley
317;872868;01-05-03;566;44 Maple Court
318;804634;74-06-05;571;3 Continental Avenue
319;988580;16-02-23;573;065 Gateway Plaza
320;520250;83-11-17;574;161 Parkside Circle
321;204939;18-06-26;584;676 Mayer Parkway
322;977298;09-07-19;588;06500 Browning Terrace
323;234382;15-10-31;588;72952 Porter Point
324;183548;93-06-16;590;02156 Kensington Terrace
325;85605;69-06-29;591;7902 Upham Terrace
326;873161;12-11-20;592;58181 Dexter Alley
327;254137;02-07-06;592;98 Anzinger Lane
328;65407;98-12-14;593;94393 Stuart Road
329;886775;10-10-15;593;9 Goodland Center
330;541513;70-12-15;594;5539 Jenna Lane
331;870151;97-12-25;600;854 Rigney Trail
332;452251;09-09-30;600;81406 Gale Way
333;130946;04-07-03;602;99267 Lyons Parkway
334;79406;02-08-08;602;483 Schlimgen Avenue
335;344437;81-11-20;605;680 2nd Point
336;561529;12-04-18;608;81884 Esker Drive
337;50439;17-11-23;608;1998 Hayes Point
338;204859;68-01-01;611;99 Lyons Road
339;265053;19-03-22;611;3 Canary Circle
340;2101;97-07-31;611;9806 Hoffman Street
341;730223;10-07-06;612;7982 Mallory Point
342;569954;14-06-10;614;90 Declaration Drive
343;484074;08-08-14;618;4573 Russell Lane
344;543669;87-05-07;619;463 Garrison Terrace
345;274486;08-09-04;620;344 Victoria Place
346;44416;12-12-18;621;902 Briar Crest Court
347;539346;99-11-12;621;0 Maple Wood Drive
348;606427;04-09-16;622;41801 Lyons Parkway
349;281733;96-12-08;623;84 Harper Place
350;657827;97-05-07;624;233 Southridge Trail
351;210387;09-08-25;625;0 Surrey Terrace
352;811804;95-12-23;628;86527 Lukken Center
353;940677;17-12-07;628;94 Jenifer Park
354;9036;12-01-10;630;9 Sycamore Street
355;881501;18-01-24;630;48959 Lerdahl Crossing
356;242376;14-10-09;631;4 Commercial Court
357;344463;91-01-07;636;960 Boyd Place
358;275970;72-10-06;640;1 Heffernan Center
359;657335;19-04-15;645;562 Bluejay Park
360;992130;96-09-16;646;842 Fulton Court
361;524633;76-03-30;648;0 Petterle Street
362;282550;85-06-17;649;5 Fieldstone Court
363;389432;06-03-08;651;76005 Almo Hill
364;595332;76-01-12;656;96 West Trail
365;552380;15-03-07;663;22 Lawn Crossing
366;14694;01-02-14;665;96 Stone Corner Avenue
367;364129;14-08-01;667;07 Carioca Street
368;94294;06-04-05;672;843 Killdeer Hill
369;975516;10-05-03;682;30383 Onsgard Pass
370;832353;07-01-05;684;05346 Atwood Road
371;819693;02-08-12;685;721 Sheridan Trail
372;764918;95-11-16;688;35693 Pine View Circle
373;188662;99-10-08;692;11 Beilfuss Alley
374;30546;01-04-24;693;3095 Portage Center
375;106325;70-10-22;695;175 Reindahl Place
376;136853;84-09-17;697;049 Mcbride Parkway
377;902260;71-02-17;700;23 Buena Vista Place
378;261828;02-11-17;702;65 Reinke Lane
379;751496;14-11-30;702;28 Claremont Way
380;229062;00-08-07;704;22451 Mifflin Hill
381;843758;17-01-10;705;119 Kennedy Street
382;387318;80-11-19;709;820 Forster Avenue
383;44311;94-11-01;710;5 Eastwood Junction
384;312266;89-09-10;710;72 Anthes Road
385;781049;18-09-11;712;15715 Cottonwood Road
386;186312;10-10-16;713;63819 Kennedy Circle
387;574084;18-11-17;713;7 Elgar Road
388;110459;05-02-07;714;98 Fieldstone Crossing
389;677623;10-08-24;716;305 Golf Course Road
390;712935;03-12-27;717;20265 Ridgeview Plaza
391;16968;81-04-02;725;93572 Crest Line Court
392;196657;10-01-28;727;0794 Warrior Parkway
393;57454;08-11-04;727;4 Oakridge Crossing
394;718804;05-03-21;730;7823 Charing Cross Center
395;997033;14-11-01;732;30163 Monument Trail
396;92594;90-11-22;737;610 Anderson Parkway
397;394220;71-09-03;740;63819 Kennedy Circle
398;918582;07-06-25;740;8 Schmedeman Hill
399;944265;99-06-30;741;491 Gerald Parkway
400;634851;18-08-24;742;562 Bluejay Park
401;982918;13-10-24;743;99947 Banding Place
402;762225;91-07-16;746;825 Manitowish Circle
403;924592;60-01-09;749;1 Brown Place
404;652803;10-03-04;749;3 Mallard Alley
405;175857;17-09-14;749;71 Meadow Valley Center
406;58681;03-02-22;750;6 Lakeland Park
407;798605;00-04-29;750;8 Shoshone Road
408;33748;88-08-11;751;12997 Esch Alley
409;191797;88-03-20;751;0 Gerald Center
410;725530;94-04-03;754;4395 School Point
411;293638;10-10-06;755;65 La Follette Drive
412;727508;04-04-27;756;5 Maple Wood Center
413;996553;62-05-07;758;31505 Del Mar Trail
414;213586;02-03-30;759;781 Heffernan Place
415;411554;79-10-15;760;89 Chinook Street
416;15818;92-09-03;760;25433 Schiller Trail
417;583665;88-04-16;761;21 International Crossing
418;695147;19-02-11;761;1460 Gulseth Crossing
419;810193;18-02-16;763;7 Gulseth Place
420;839483;13-02-05;764;6 Rusk Crossing
421;36437;18-07-07;764;7 Longview Junction
422;378472;08-10-19;765;2938 Forest Road
423;332870;00-05-11;766;7 Mitchell Court
424;277744;07-09-11;767;54169 Holmberg Circle
425;121796;16-06-28;767;825 Manitowish Circle
426;456865;99-03-25;771;161 Parkside Circle
427;270067;55-11-25;773;58263 John Wall Center
428;120649;98-03-27;773;08 Morningstar Drive
429;604834;82-10-08;780;3036 Anthes Terrace
430;57900;19-08-02;782;4604 Annamark Street
431;271967;17-01-15;784;37641 Park Meadow Street
432;325681;96-08-13;786;3 Canary Circle
433;854782;17-07-14;788;8 Corry Parkway
434;969994;16-02-05;789;744 Truax Plaza
435;953292;18-07-09;790;6 Lakeland Park
436;36932;08-05-19;791;45332 Old Shore Place
437;848055;19-07-31;793;0886 Hoffman Court
438;520708;60-04-02;793;9 Maple Wood Court
439;734377;15-07-16;793;437 Amoth Place
440;408553;16-05-06;794;0 Coleman Terrace
441;246036;06-04-10;794;2 Harper Trail
442;922117;96-05-11;794;54169 Holmberg Circle
443;163047;19-07-13;795;1289 Waxwing Road
444;209341;79-02-03;797;520 Hanson Plaza
445;553178;14-04-02;805;88149 Eagan Trail
446;837681;62-10-31;806;7 Mcguire Terrace
447;840797;59-05-14;807;99904 Coolidge Trail
448;296279;01-11-08;807;37248 Kipling Avenue
449;6937;84-03-24;807;5715 Cottonwood Point
450;393408;19-03-30;807;7857 Pennsylvania Park
451;194978;62-08-27;808;6234 Loftsgordon Pass
452;792335;01-01-08;808;58263 John Wall Center
453;106451;14-01-15;809;30357 Magdeline Junction
454;689315;07-06-06;809;6462 Washington Circle
455;882593;79-02-07;809;642 Utah Way
456;572660;12-01-30;811;249 Rowland Avenue
457;742411;11-10-14;812;450 Warner Road
458;72972;84-09-30;813;487 1st Point
459;226635;08-01-11;813;6462 Washington Circle
460;261133;96-08-24;816;48 7th Pass
461;131988;19-03-26;819;4040 East Drive
462;596878;09-12-23;821;41 Mayer Place
463;960674;57-05-18;821;8848 Reinke Pass
464;758661;00-07-29;822;4378 Dapin Terrace
465;309048;73-09-18;824;29114 Vera Court
466;999142;97-06-20;825;4 Amoth Park
467;9454;18-10-04;826;6 Lakeland Park
468;329275;19-05-16;827;24 Sachtjen Alley
469;265314;10-04-11;830;30 Arizona Drive
470;320786;18-05-02;834;2 Hudson Court
471;585877;11-08-12;835;0 Butterfield Court
472;558795;00-03-02;838;3635 Maple Wood Avenue
473;330027;19-08-12;839;865 Jay Lane
474;573791;09-07-25;841;11148 Daystar Pass
475;837171;14-10-21;842;58263 John Wall Center
476;381717;95-12-02;846;48 7th Pass
477;960801;17-08-21;848;3 Tony Terrace
478;631039;16-06-27;851;48 Fisk Trail
479;251713;13-07-13;853;384 International Hill
480;118270;07-11-15;854;2 Pine View Court
481;459789;04-06-20;857;0 Gale Street
482;890575;72-12-07;859;676 Mayer Parkway
483;789472;60-05-10;860;94393 Stuart Road
484;646442;96-12-15;862;278 Nevada Trail
485;908560;18-11-24;864;73806 Eggendart Junction
486;708591;17-06-26;866;483 Schlimgen Avenue
487;593124;16-06-20;868;47441 Center Terrace
488;135168;08-09-09;870;18669 Bonner Avenue
489;989133;03-10-03;870;09939 Everett Court
490;50051;08-12-15;870;4 Manufacturers Crossing
491;851493;19-05-10;871;1194 Portage Avenue
492;156036;16-10-13;873;49 Hintze Alley
493;465362;15-02-01;873;963 Michigan Way
494;781362;12-04-21;874;6 American Ash Terrace
495;399301;05-04-22;874;8 Dottie Alley
496;439967;19-02-10;878;48 7th Pass
497;469553;15-10-23;880;29 Granby Plaza
498;178618;68-03-12;882;0 Logan Plaza
499;175373;17-02-25;884;7807 Darwin Court
500;699128;02-10-26;885;26 Portage Hill
501;411504;10-05-02;887;90546 Coolidge Trail
502;273700;11-02-07;887;610 Anderson Parkway
503;803946;10-12-03;893;80837 Meadow Valley Plaza
504;708243;11-04-01;893;19 Troy Alley
505;415128;97-01-25;894;88 Anthes Avenue
506;314063;11-04-08;894;586 Sunbrook Point
507;343013;14-12-14;895;3688 6th Terrace
508;836694;70-02-08;895;613 Evergreen Road
509;322185;96-03-18;897;1617 Springs Terrace
510;83505;15-07-16;897;960 Boyd Place
511;149642;85-06-30;897;3 Sunfield Plaza
512;28898;01-12-07;898;55 Menomonie Center
513;156221;10-01-28;899;014 Vidon Court
514;835915;03-03-31;901;58 Declaration Lane
515;295663;05-03-09;906;88881 Blaine Way
516;737620;99-06-16;910;53 Buhler Road
517;420031;78-07-04;910;78749 Northwestern Center
518;872029;00-10-19;912;792 Hagan Lane
519;681404;17-07-30;915;93646 Del Sol Circle
520;833471;11-04-30;916;63927 Del Mar Avenue
521;914585;93-02-25;916;51734 Blaine Hill
522;654711;11-05-17;917;44 Swallow Center
523;894587;89-08-19;918;63 Shelley Lane
524;294310;10-10-10;919;6 Rusk Crossing
525;810473;18-06-23;921;66 Sherman Hill
526;732993;17-03-09;922;92876 Mccormick Alley
527;259017;12-02-19;925;1 Hermina Crossing
528;152962;19-01-17;925;49 Hintze Alley
529;390297;17-02-28;925;233 Southridge Trail
530;96606;03-10-03;929;26 Portage Hill
531;913638;93-06-01;932;7807 Darwin Court
532;779369;02-06-23;934;0545 Grayhawk Street
533;464296;10-11-28;935;2001 Chive Lane
534;328336;15-05-12;935;02 Golf Course Park
535;650812;87-12-01;938;1 Hermina Crossing
536;232985;17-02-15;939;08 Anniversary Pass
537;676084;84-06-28;939;299 Riverside Trail
538;659382;91-09-01;940;8797 Del Mar Pass
539;213664;93-12-23;948;8142 Erie Avenue
540;861036;17-01-20;953;4 Glendale Court
541;630853;83-10-21;955;7508 Esch Point
542;671542;99-11-09;955;7728 Sauthoff Parkway
543;273742;15-12-02;958;81407 Shopko Court
544;39781;01-11-17;958;139 Gale Alley
545;836015;04-12-30;958;94 Jenifer Park
546;213707;13-04-15;961;7 Sycamore Junction
547;644585;85-04-15;962;12 Darwin Alley
548;256979;11-10-05;962;59519 Pawling Hill
549;806035;73-06-09;965;141 Vidon Parkway
550;911175;18-10-05;966;616 Division Alley
551;641831;16-03-05;967;30152 Quincy Place
552;853081;16-01-30;967;3078 Huxley Plaza
553;989721;89-05-16;968;528 Bunker Hill Crossing
554;987526;16-12-05;971;4456 Banding Drive
555;522007;72-02-09;972;45332 Old Shore Place
556;262794;11-07-20;979;9 Londonderry Pass
557;202633;87-12-12;979;8 Corry Parkway
558;579666;15-05-31;980;32162 Daystar Park
559;732261;07-10-20;981;9 Jenna Drive
560;403301;90-07-26;982;22124 Red Cloud Point
561;554974;80-09-02;982;4 New Castle Lane
562;229443;12-06-26;984;893 Lawn Place
563;200183;04-09-24;984;299 Riverside Trail
564;474272;10-07-16;986;23579 Mallory Point
565;675819;90-07-02;988;013 Brickson Park Avenue
566;875425;71-09-27;990;02 Elmside Street
567;336658;09-02-28;990;5 Cherokee Pass
568;981756;13-11-01;992;680 2nd Point
569;509298;95-08-14;993;76005 Almo Hill
570;27483;13-08-11;994;4 Glendale Court
571;365535;93-01-15;996;4604 Annamark Street
572;871094;01-03-15;997;194 Golf Center
573;271255;82-03-31;997;7255 Swallow Road
574;743470;12-06-27;998;3 Ludington Way
575;475162;10-11-22;999;2 Mitchell Point
576;851711;97-06-05;1002;10930 Monument Crossing
577;809397;81-03-10;1003;477 Crest Line Center
578;632345;86-08-30;1005;2 Pine View Court
579;453344;02-12-18;1005;55 Comanche Lane
580;130114;64-01-22;1007;7982 Mallory Point
581;572124;05-03-03;1008;58233 Hoffman Pass
582;463729;80-11-05;1012;3 Colorado Point
583;380691;14-03-29;1017;5074 Hazelcrest Avenue
584;616350;96-09-22;1024;233 Southridge Trail
585;818184;92-06-24;1025;477 Crest Line Center
586;964294;03-11-24;1026;100 Evergreen Pass
587;979432;99-05-28;1027;99018 Veith Drive
588;577377;97-01-26;1028;906 Melvin Street
589;414257;01-04-03;1028;4573 Russell Lane
590;583721;17-02-11;1030;69 Miller Road
591;846013;86-08-08;1037;7508 Esch Point
592;742043;74-12-29;1039;21 Forest Dale Lane
593;132936;66-06-20;1041;781 Heffernan Place
594;635422;76-07-25;1041;2138 Kingsford Junction
