id_mov;presupuesto;fecha;ONG
446;837681;62-10-31;Konopelski, Hermann And Ziemann
447;840797;59-05-14;Barrows-Sauer
448;296279;01-11-08;Wilkinson-Schmidt
449;6937;84-03-24;Heidenreich, Boyer And Dach
450;393408;19-03-30;Maggio-Kuvalis
451;194978;62-08-27;Sanford
452;792335;01-01-08;Cronin, Gibson And Parisian
453;106451;14-01-15;Kerluke-Yundt
454;689315;07-06-06;Veum, Ritchie And Crist
455;882593;79-02-07;Altenwerth, Ebert And Mitchell
456;572660;12-01-30;Heller-Rohan
457;742411;11-10-14;Cassin And Sons
458;72972;84-09-30;Padberg Group
459;226635;08-01-11;Breitenberg And Sons
460;261133;96-08-24;Predovic-Graham
461;131988;19-03-26;Hettinger-Nolan
462;596878;09-12-23;Hayes, Goodwin And Feil
463;960674;57-05-18;O'Reilly Group
464;758661;00-07-29;Bednar-Crist
465;309048;73-09-18;Grimes-Weber
466;999142;97-06-20;Zieme-Metz
467;9454;18-10-04;Conroy-Howe
468;329275;19-05-16;Davis Inc
469;265314;10-04-11;Lowe, Quitzon And Johnson
470;320786;18-05-02;Becker, Deckow And O'Keefe
471;585877;11-08-12;Keebler-Stark
472;558795;00-03-02;África Esperanza
473;330027;19-08-12;D'Amore-Kuhlman
474;573791;09-07-25;África-Edusa
475;837171;14-10-21;Hermann, Quigley And Heaney
476;381717;95-12-02;Abbott
477;960801;17-08-21;Mcglynn
478;631039;16-06-27;Russel Group
479;251713;13-07-13;Stiedemann-Wuckert
480;118270;07-11-15;Reichert, Mayer And Schmitt
481;459789;04-06-20;Bruen, Kulas And Hodkiewicz
482;890575;72-12-07;Feest
483;789472;60-05-10;Lindgren, Padberg And Hand
484;646442;96-12-15;Hane, Buckridge And Kuhn
485;908560;18-11-24;Watsica-Blanda
486;708591;17-06-26;Auer-Ryan
487;593124;16-06-20;Gutkowski Group
488;135168;08-09-09;Davis Inc
489;989133;03-10-03;Steuber-Lang
490;50051;08-12-15;Kshlerin, Hahn And Gulgowski
491;851493;19-05-10;Fritsch And Sons
492;156036;16-10-13;Adecoi
493;465362;15-02-01;Buckridge-Greenfelder
494;781362;12-04-21;Luettgen, Watsica And Kutch
495;399301;05-04-22;Cronin, Gibson And Parisian
496;439967;19-02-10;Baumbach, Mccullough And Larson
497;469553;15-10-23;Bartoletti, Macejkovic And Doyle
498;178618;68-03-12;Schuster-Kub
499;175373;17-02-25;Rath Group
500;699128;02-10-26;Stark, Langworth And Kovacek
501;411504;10-05-02;Gaylord Inc
502;273700;11-02-07;Senger-Bins
503;803946;10-12-03;Barrows-Sauer
504;708243;11-04-01;Ryan, Stark And Medhurst
505;415128;97-01-25;Bechtelar-Wuckert
506;314063;11-04-08;Kuvalis, Harris And Okuneva
507;343013;14-12-14;Schimmel Inc
508;836694;70-02-08;Halvorson, Jacobson And Ward
509;322185;96-03-18;Wolf-Boehm
510;83505;15-07-16;Johnson And Sons
511;149642;85-06-30;Fisher, Cummings And Rowe
512;28898;01-12-07;Gutkowski
513;156221;10-01-28;Christiansen
514;835915;03-03-31;Dickens-Klein
515;295663;05-03-09;Koelpin, Stehr And Senger
516;737620;99-06-16;Langosh-Reilly
517;420031;78-07-04;Jakubowski
518;872029;00-10-19;Mcclure Group
519;681404;17-07-30;Bergstrom, Barrows And Shields
520;833471;11-04-30;Cronin Inc
521;914585;93-02-25;Luettgen, Watsica And Kutch
522;654711;11-05-17;Hilll
523;894587;89-08-19;Nicolas Group
524;294310;10-10-10;Rippin-Effertz
525;810473;18-06-23;Predovic, O'Conner And Gutkowski
526;732993;17-03-09;Bosco-Lockman
527;259017;12-02-19;Adane
528;152962;19-01-17;Heidenreich, Boyer And Dach
529;390297;17-02-28;Doyle, Ernser And Pacocha
530;96606;03-10-03;Kulas Inc
531;913638;93-06-01;Emard-Stroman
532;779369;02-06-23;Kutch, Will And Grant
533;464296;10-11-28;Abshire, Crooks And Kassulke
534;328336;15-05-12;Schmitt-Mckenzie
535;650812;87-12-01;Rice, Daniel And Klocko
536;232985;17-02-15;Davis Inc
537;676084;84-06-28;Schaden-Gleichner
538;659382;91-09-01;Wunsch, Barrows And Hoeger
539;213664;93-12-23;Keebler-Stark
540;861036;17-01-20;Sipes Group
541;630853;83-10-21;Carroll-Moen
542;671542;99-11-09;Watsica, Spencer And Weissnat
543;273742;15-12-02;Emmerich, Feil And Gorczany
544;39781;01-11-17;Russel Group
545;836015;04-12-30;Wisoky Inc
546;213707;13-04-15;Koss Group
547;644585;85-04-15;Nolan Group
548;256979;11-10-05;Doyle-Jenkins
549;806035;73-06-09;Kling, Barrows And Rau
550;911175;18-10-05;Weimann And Sons
551;641831;16-03-05;Bednar-Flatley
552;853081;16-01-30;Ritchie Group
553;989721;89-05-16;Hagenes-Gutmann
554;987526;16-12-05;Willms-Jacobson
555;522007;72-02-09;Schuster-Kub
556;262794;11-07-20;Corkery-Corwin
557;202633;87-12-12;Shields
558;579666;15-05-31;Rowe-Wisoky
559;732261;07-10-20;Leffler Group
560;403301;90-07-26;Walsh
561;554974;80-09-02;Reichert-Hermiston
562;229443;12-06-26;Hintz-Donnelly
563;200183;04-09-24;Kunze-Ernser
564;474272;10-07-16;Murphy-Yundt
565;675819;90-07-02;Hickle, Mertz And Harris
566;875425;71-09-27;Renner-Erdman
567;336658;09-02-28;Satterfield, Torp And O'Kon
568;981756;13-11-01;Luettgen-Satterfield
569;509298;95-08-14;Rath Inc
570;27483;13-08-11;Hahn And Sons
571;365535;93-01-15;Kub Group
572;871094;01-03-15;Tromp
573;271255;82-03-31;Harvey And Sons
574;743470;12-06-27;Kuhlman Group
575;475162;10-11-22;Yundt Group
576;851711;97-06-05;Sawayn Inc
577;809397;81-03-10;Veum, Ritchie And Crist
578;632345;86-08-30;Kulas-Crist
579;453344;02-12-18;Zieme-Metz
580;130114;64-01-22;Aeal
581;572124;05-03-03;King, Stroman And Flatley
582;463729;80-11-05;Bins Group
583;380691;14-03-29;Aufderhar
584;616350;96-09-22;Wunsch-Larson
585;818184;92-06-24;Johns-Wolff
586;964294;03-11-24;Bayer-Bashirian
587;979432;99-05-28;Murphy-Yundt
588;577377;97-01-26;Conroy Group
589;414257;01-04-03;Dare, O'Conner And Mohr
590;583721;17-02-11;Waelchi-Bashirian
591;846013;86-08-08;Gutkowski, Kuhlman And Purdy
592;742043;74-12-29;Bosco-Lockman
593;132936;66-06-20;Hettinger-Lynch
594;635422;76-07-25;Feest-Graham
595;252446;62-05-17;Mckenzie, Lynch And Reinger
596;784784;83-02-28;Klein-Bartoletti
597;541506;89-11-18;Harber Inc
598;583837;10-10-12;Adane
599;268752;04-02-03;Mcclure
600;537294;12-08-13;Wunsch, Barrows And Hoeger
601;839628;14-09-25;Jenkins-Dicki
602;356601;91-01-11;D'Amore And Sons
603;148545;71-10-14;Mann, Walsh And Dickinson
604;502432;01-01-25;Upton, Boehm And Haag
605;50182;91-09-21;Runte, Baumbach And Runte
606;657524;06-11-22;Fay, Hyatt And Rolfson
607;346937;94-04-11;Wilderman-Leannon
608;27770;18-11-22;Maggio-O'Keefe
609;561021;14-09-13;Afesip
610;513984;19-08-01;Anderson-Orn
611;911872;81-03-19;Hudson-Mayer
612;810150;09-09-13;Aeal
613;612375;19-04-28;Gutkowski-Bartoletti
614;655493;17-12-27;Feest-Graham
615;909415;12-06-30;Jenkins Group
616;176892;14-06-29;Feil-Nikolaus
617;477796;96-11-16;Franecki-Beahan
618;35477;19-02-28;Wolff, Russel And Ankunding
619;465143;18-04-14;Satterfield And Sons
620;399604;19-03-31;Franecki
621;616544;71-04-04;Nolan, Renner And Lesch
622;929751;12-12-22;Howe-Kreiger
623;794195;72-02-20;Goldner-Botsford
624;987452;15-04-22;Adem
625;434765;73-03-06;Quitzon Inc
626;790328;05-08-26;Wunsch-Larson
627;520595;08-09-24;Gusikowski-Bechtelar
628;947790;89-08-07;Barrows Group
629;272767;89-05-30;Herman-Graham
630;376025;13-07-12;Macgyver-Hegmann
631;940256;98-08-14;Feest-Graham
632;816661;01-11-14;Auer-Ryan
633;292249;17-05-26;Kertzmann Group
634;717525;02-07-08;Altenwerth, Ebert And Mitchell
635;186689;98-11-26;Gulgowski Inc
636;523319;90-05-15;Hauck-Metz
637;722168;86-02-23;Johnston And Sons
638;930061;91-11-02;Hilll-Lemke
