id_mov;ONG;proyecto
185;Rowe-Fisher;SAP SE
186;Berge ;Peabody Energy Corporation
187;King ;Silvercrest Asset Management Group Inc.
188;Schoen And Sons;LM Funding America, Inc.
189;Torphy, Marquardt And Oberbrunner;Silvercrest Asset Management Group Inc.
190;Pfeffer, Durgan And Hayes;ILG, Inc
191;Fay, Hyatt And Rolfson;Vanguard Russell 3000 ETF
192;Dicki ;Faride
193;Reichert And Sons;Pampa Camarones
194;Weissnat-Bergstrom;Las Pataguas
195;Weber Inc;Park-Ohio Holdings Corp.
196;Gutkowski-Nikolaus;United Insurance Holdings Corp.
197;Walsh-Doyle;Enanta Pharmaceuticals, Inc.
198;Schuster ;Mirna Therapeutics, Inc.
199;Pagac, Huel And Abshire;Apollo Senior Floating Rate Fund Inc.
200;Gusikowski-Bechtelar;Esperanza
201;Hettinger-Kuhic;Arlington Asset Investment Corp
202;Bradtke Inc;PrimeEnergy Corporation
203;Volkman, Kulas And Hodkiewicz;Novelion Therapeutics Inc.
204;Macejkovic-Haag;Pirquitas
205;África-Edusa;Container Store (The)
206;Jenkins-Kemmer;Schwager
207;Haag, Beatty And Walker;Incyte Corporation
208;Feest-Graham;Cowen Inc.
209;Reichert And Sons;Meridian Waste Solutions, Inc
210;Aufderhar ;Cordillera - Tenardita
211;Labadie, Veum And Hammes;NVIDIA Corporation
212;Mueller-Simonis;La Marcelina
213;Rice, Daniel And Klocko;HCA Healthcare, Inc.
214;Cremin Inc;United States Cellular Corporation
215;Littel, Bode And Dibbert;Johnson & Johnson
216;Satterfield And Sons;Chuquicamata
217;Ullrich Inc;Nuveen Floating Rate Income Fund
218;Denesik And Sons;ACF - Lagunas
219;Koch-Schneider;FTI Consulting, Inc.
220;Powlowski, Kohler And Deckow;AdvisorShares Market Adaptive Unconstrained Income ETF
221;Mertz Group;Kayne Anderson Energy Total Return Fund, Inc.
222;Pouros And Sons;Collahuasi
223;Boyer Inc;China Cord Blood Corporation
224;Dickens-Boyle;Cerro Blanco
225;Dooley, Jerde And Kshlerin;Quebrada Blanca
226;Gulgowski-Spinka;Del Fierro
227;Swaniawski-Sawayn;Maganeso III de Atacama
228;Nicolas Group;Algorta
229;Hettinger ;Lions Gate Entertainment Corporation
230;Muller, Reichert And Grimes;Celite - Tilviche
231;Towne ;Antucoya
232;Lubowitz, Weimann And Lemke;Hurco Companies, Inc.
233;Runolfsdottir-Prosacco;SQM - Pedro de Valdivia
234;Langworth ;Randgold Resources Limited
235;Bradtke-Wilkinson;Brookfield Global Listed Infrastructure Income Fund
236;Dubuque, Gaylord And Cole;Costamare Inc.
237;Halvorson ;Entergy Louisiana, Inc.
238;África Arco Iris;Schwager
239;Mckenzie Inc;Cambrex Corporation
240;Lynch, Feest And Eichmann;Sierra Oncology, Inc.
241;Abbott ;SolarEdge Technologies, Inc.
242;Towne-Lehner;CMP - Los Colorados
243;Schroeder-Hamill;Las Cenizas
244;Keebler ;CVS Health Corporation
245;Stracke And Sons;Kilroy Realty Corporation
246;Grady, Nicolas And Blick;iShares MSCI EM ESG Optimized ETF
247;Rice, Ondricka And Block;Meridian Waste Solutions, Inc
248;Rath Group;Alhué
249;Monahan-Grimes;La Productora
250;Mckenzie, Cummings And Rippin;Nuveen Municipal High Income Opportunity Fund
251;Cartwright, Gusikowski And Miller;Commerce Bancshares, Inc.
252;Weber Inc;International Seaways, Inc.
253;Simonis Inc;Dynex Capital, Inc.
254;Kuhlman, Bashirian And Abbott;Sierra Oncology, Inc.
255;Pagac And Sons;Las Cenizas
256;Adecoi;Arlington Asset Investment Corp
257;Stracke Group;Tootsie Roll Industries, Inc.
258;Breitenberg, Kemmer And Schumm;CMP - Romeral
259;Stracke And Sons;JA Solar Holdings, Co., Ltd.
260;Connelly-Maggio;PowerShares KBW High Dividend Yield Financial Portfolio
261;Johnson, Batz And Davis;Dollar General Corporation
262;Hauck Group;Pinnacle Financial Partners, Inc.
263;Aecc;Diana Shipping inc.
264;Botsford, Bechtelar And Conn;Western Refining Logistics, LP
265;Gerlach, Fritsch And Rippin;Carvana Co.
266;Botsford, Wuckert And Volkman;Laguna Siren
267;Dare, O'Conner And Mohr;Clear Channel Outdoor Holdings, Inc.
268;Hermann ;SQM - Yumbes
269;Senger-Bogisich;Chimberos
270;Kuhlman-Bernhard;Edge Therapeutics, Inc.
271;Hermiston And Sons;Kraton Corporation
272;Kuphal And Sons;German American Bancorp, Inc.
273;O'Reilly Group;Inacesa - El Way
274;Nolan Group;United States Cellular Corporation
275;Considine-Weimann;Meridian Waste Solutions, Inc
276;Quitzon Group;El Abra
277;Dooley-Runolfsson;Edge Therapeutics, Inc.
278;O'Hara ;DRDGOLD Limited
279;Schmidt-Schinner;Pascua
280;Bergstrom, Barrows And Shields;Flor de Los Andes
281;Kuhn, Sawayn And Welch;Vanguard Russell 3000 ETF
282;Satterfield, Torp And O'Kon;CoreSite Realty Corporation
283;Dietrich ;Franklin Financial Network, Inc.
284;Aufderhar-Blick;Nuveen Michigan Quality Municipal Income Fund
285;Bashirian, Greenholt And Russel;Dupont Fabros Technology, Inc.
286;Oberbrunner, Cremin And Gislason;China Cord Blood Corporation
287;Purdy And Sons;Kilroy Realty Corporation
288;Heller, Lubowitz And Dach;Mantos Blancos
289;Adega;SAP SE
290;Blick, Harber And Smith;Montecristo
291;Cronin ;Avenue Therapeutics, Inc.
292;Afro_Aid;Cabot Corporation
293;Gutkowski-Schinner;Peapack-Gladstone Financial Corporation
294;Kreiger-Mccullough;The Community Financial Corporation
295;Mccullough, Luettgen And Brakus;PowerShares BuyBack Achievers Portfolio
296;Rolfson And Sons;Texas Pacific Land Trust
297;Bayer-Bashirian;Blackhawk Network Holdings, Inc.
298;Gusikowski, Luettgen And Cremin;SQM - María Elena
299;Towne-Hamill;Silicon Motion Technology Corporation
300;Okuneva ;Kamada Ltd.
301;Gulgowski-Spinka;Franklin Financial Network, Inc.
302;Bruen, Kulas And Hodkiewicz;La Patagua
303;Kutch, Will And Grant;Novelion Therapeutics Inc.
304;Bartoletti-Daniel;Spence
305;Daniel Inc;Applied DNA Sciences Inc
306;África Digna;First Financial Bankshares, Inc.
307;Sanford ;Universal Stainless & Alloy Products, Inc.
308;O'Hara ;AGCO Corporation
309;Mcclure, Klocko And Wyman;First Trust Multi-Asset Diversified Income Index Fund
310;Bruen, Kulas And Hodkiewicz;Jazz Pharmaceuticals plc
311;Sanford-Kovacek;Tootsie Roll Industries, Inc.
312;Hartmann And Sons;AbbVie Inc.
313;Padberg Group;Esterline Technologies Corporation
314;Blick, Harber And Smith;Pure Cycle Corporation
315;Breitenberg, Kemmer And Schumm;Lions Gate Entertainment Corporation
316;Pollich-Treutel;Blackhawk Network Holdings, Inc.
317;Wisozk, Smitham And Wisoky;Spark Energy, Inc.
318;Acción Familiar;Gabelli Equity Trust, Inc. (The)
319;Zboncak-Mraz;Westbury Bancorp, Inc.
320;Dibbert, Mckenzie And Cronin;Gabelli Equity Trust, Inc. (The)
321;Torphy, Adams And Walter;Mantos Blancos
322;Stiedemann, Willms And Fay;First Trust South Korea AlphaDEX Fund
323;Langworth ;Eaton Vance Corporation
324;Casper-Jacobson;El Teniente
325;Kuphal And Sons;El Toqui
326;Carroll-Moen;Hamilton Lane Incorporated
327;Hoppe-Zboncak;Entegra Financial Corp.
328;Beer, Zieme And Huels;United States Cellular Corporation
329;Jenkins And Sons;Arch Capital Group Ltd.
330;Howe-Kreiger;R.R. Donnelley & Sons Company
331;Abbott Group;Sierra Gorda
332;Price Inc;Investors Bancorp, Inc.
333;Kshlerin, Hahn And Gulgowski;Westpac Banking Corporation
334;Gibson-Hills;Cohen & Steers Reit and Preferred Income Fund Inc
335;Upton, Boehm And Haag;SQM - María Elena
336;Simonis-Torphy;Urban One, Inc. 
337;Eichmann-Streich;Brookfield Global Listed Infrastructure Income Fund
338;Kozey-Stoltenberg;BRF S.A.
339;Schmidt, Ryan And Jacobson;La Productora
340;Botsford, Bechtelar And Conn;La Perla
341;Bergstrom-O'Conner;Kayne Anderson Energy Total Return Fund, Inc.
342;Adecoi;CMP - Boquerón Chañar
343;Runolfsdottir And Sons;Spence
344;Bechtelar-Wuckert;H&R Block, Inc.
345;Buckridge Group;HollyFrontier Corporation
346;Feil, Kemmer And Koch;United States Cellular Corporation
347;Bartell Inc;Esterline Technologies Corporation
348;Heller, Bradtke And Stoltenberg;PTC Inc.
349;Williamson-Littel;Gilat Satellite Networks Ltd.
350;Lesch-Homenick;Apple Hospitality REIT, Inc.
351;Champlin-Bauch;Regal Entertainment Group
352;O'Keefe-Zulauf;Hub Group, Inc.
353;Torphy, Marquardt And Oberbrunner;Colico Sur
354;Abbott Group;Hurco Companies, Inc.
355;Wuckert ;First Trust International Multi-Asset Diversified Income Index
356;Grant-Schaden;Walter Investment Management Corp.
357;Mraz-Eichmann;Isla Guarello
358;Dooley, Jerde And Kshlerin;Littelfuse, Inc.
359;Boyle, Walsh And Blanda;El Tofo
360;Emard-Stroman;Merus Labs International Inc.
361;King ;LM Funding America, Inc.
362;Jenkins-Kemmer;El Volcán
363;Kunze-Ernser;Entegra Financial Corp.
364;Conroy, Wisoky And Daniel;Kilroy Realty Corporation
365;Hackett, Lockman And Littel;SolarEdge Technologies, Inc.
366;D'Amore And Sons;FTI Consulting, Inc.
367;Hauck-Metz;La Patagua
368;Kozey Inc;SAP SE
369;Hane, Buckridge And Kuhn;UMH Properties, Inc.
370;Dubuque And Sons;Isla Riesco
371;Goldner, Kertzmann And Paucek;Terreno Realty Corporation
372;Russel, Kemmer And Pacocha;Dynex Capital, Inc.
373;Cremin And Sons;ILG, Inc
374;Glover-Nader;PTC Inc.
375;Predovic-Graham;El Tesoro
376;Barrows-Sauer;Salesforce.com Inc
377;Buckridge, Okuneva And Keebler;Credit Acceptance Corporation
378;Heaney, Feest And Murphy;Guaranty Bancorp
379;Schowalter-Senger;PrivateBancorp, Inc.
380;Bosco And Sons;Haldeman - Sagasca
381;Kling, Donnelly And Blanda;Georgia Power Company
382;Maggio-Kuvalis;Envision Healthcare Corporation
383;Lesch And Sons;Iván
384;Mertz Group;Hawkins, Inc.
385;Skiles-Schamberger;Mirna Therapeutics, Inc.
386;Price-Shields;Lota
387;Johnston Group;SQM Salar
388;Senger, Kemmer And Dickinson;Xenia Hotels & Resorts, Inc.
389;Nolan Group;Cerro Casale
390;Schiller-Mitchell;Limoneira Co
391;Bartoletti-Kunde;Zion Oil & Gas Inc
392;Schiller-Reilly;Old Republic International Corporation
393;Paucek ;Check-Cap Ltd.
394;Doyle-Powlowski;Microsemi Corporation
395;Marvin-Kautzer;Gabriela Mistral
396;Upton-O'Keefe;Elkhorn Commodity Rotation Strategy ETF
397;Brown ;PowerShares Nasdaq Internet Portfolio
398;Bednar-Crist;HD Supply Holdings, Inc.
399;Kuhic Inc;Merus Labs International Inc.
400;Smith-Schowalter;Entergy Louisiana, Inc.
401;Predovic, O'Conner And Gutkowski;Nutanix, Inc.
402;Gaylord-Torphy;Dynex Capital, Inc.
403;Cole, Reichert And Halvorson;Flor de Los Andes
404;Heaney, Feest And Murphy;SeaChange International, Inc.
405;Schroeder-Hamill;Ellie Mae, Inc.
406;Jacobi-Bergnaum;Mid-America Apartment Communities, Inc.
407;Feil, Shields And Gislason;STMicroelectronics N.V.
408;Buckridge Group;Financial Engines, Inc.
409;Johnson, Batz And Davis;Coirón
410;África Viva;Yahoo! Inc.
411;Wiegand Group;Ceragon Networks Ltd.
412;Feil-Nikolaus;Franklin Financial Network, Inc.
413;Dietrich And Sons;The9 Limited
414;Afesip;support.com, Inc.
415;Goldner-Klocko;CMP - Cerro Negro Norte
416;Weber Inc;Las Pataguas
417;Abbott ;3M Company
418;Becker, Haag And Hammes;Patriot National Bancorp Inc.
419;Mcglynn ;Kite Realty Group Trust
420;Emmerich, Feil And Gorczany;Novelion Therapeutics Inc.
421;Rutherford Group;Cerro Bayo
422;Mcclure Group;Tootsie Roll Industries, Inc.
423;Gerlach-Leuschke;El Toqui
424;Koch ;Toll Brothers Inc.
425;Daniel Inc;Tata Motors Ltd
426;Hilll-Tromp;Cerro Blanco
427;Champlin-Bauch;Silvercrest Asset Management Group Inc.
428;Wilderman-Leannon;Ashford Hospitality Prime, Inc.
429;Oberbrunner ;Nuveen Floating Rate Income Fund
430;Oberbrunner ;Del Fierro
431;Shields-Kuhlman;Sportsman's Warehouse Holdings, Inc.
432;Gutkowski, Huel And Murazik;Imax Corporation
433;Volkman, Kulas And Hodkiewicz;Galectin Therapeutics Inc.
434;Afro_Aid;Diageo plc
435;Moore-Lueilwitz;Kamada Ltd.
436;Murray, Monahan And Hilll;Gilat Satellite Networks Ltd.
437;Jacobs, Hand And Powlowski;Kamada Ltd.
438;Terry Inc;Inacesa - El Jilguero
439;Buckridge, Okuneva And Keebler;Silicon Motion Technology Corporation
440;Quitzon-Stark;Gabriela Mistral
441;Mohr, Monahan And Hermiston;Lambert
442;Walsh-Doyle;Sierra Oncology, Inc.
443;Keebler ;Mantos de la Luna
444;Nolan, Reynolds And Waters;Imax Corporation
445;Brekke-Crist;Ojos del Salado
446;Konopelski, Hermann And Ziemann;Altamira
447;Barrows-Sauer;ACF - Lagunas
448;Wilkinson-Schmidt;China Cord Blood Corporation
449;Heidenreich, Boyer And Dach;PIMCO Dynamic Credit and Mortgage Income Fund
450;Maggio-Kuvalis;San Gerónimo
451;Sanford ;Enel Generacion Chile S.A.
452;Cronin, Gibson And Parisian;Alhué
453;Kerluke-Yundt;La Pepa
454;Veum, Ritchie And Crist;AdvisorShares Market Adaptive Unconstrained Income ETF
455;Altenwerth, Ebert And Mitchell;Inacesa - El Way
456;Heller-Rohan;First Trust Multi-Asset Diversified Income Index Fund
457;Cassin And Sons;Arista Networks, Inc.
458;Padberg Group;Nuveen Floating Rate Income Fund
459;Breitenberg And Sons;Entegra Financial Corp.
460;Predovic-Graham;First Hawaiian, Inc.
461;Hettinger-Nolan;San Gerónimo
462;Hayes, Goodwin And Feil;BlackRock Municipal Target Term Trust Inc. (The)
463;O'Reilly Group;Fidus Investment Corporation
464;Bednar-Crist;Choquelimpie
465;Grimes-Weber;CVS Health Corporation
466;Zieme-Metz;Dorado
467;Conroy-Howe;PureFunds ETFx HealthTech ETF
468;Davis Inc;Sierra Miranda
469;Lowe, Quitzon And Johnson;Bright Scholar Education Holdings Limited
470;Becker, Deckow And O'Keefe;Lambert
471;Keebler-Stark;Marte Lobo
472;África Esperanza;United States Cellular Corporation
473;D'Amore-Kuhlman;Idera Pharmaceuticals, Inc.
474;África-Edusa;HD Supply Holdings, Inc.
475;Hermann, Quigley And Heaney;Mirna Therapeutics, Inc.
476;Abbott ;Meridian Waste Solutions, Inc
477;Mcglynn ;Cerro Bayo
478;Russel Group;Elenita
479;Stiedemann-Wuckert;Pampa Camarones
480;Reichert, Mayer And Schmitt;Andina
481;Bruen, Kulas And Hodkiewicz;First Trust South Korea AlphaDEX Fund
482;Feest ;First Trust Nasdaq Retail ETF
483;Lindgren, Padberg And Hand;LM Funding America, Inc.
484;Hane, Buckridge And Kuhn;Cogentix Medical, Inc.
485;Watsica-Blanda;Altamira
486;Auer-Ryan;Ceragon Networks Ltd.
487;Gutkowski Group;Guanaco
488;Davis Inc;Littelfuse, Inc.
489;Steuber-Lang;Arista Networks, Inc.
490;Kshlerin, Hahn And Gulgowski;Schwager
491;Fritsch And Sons;Sierra Gorda
492;Adecoi;Under Armour, Inc.
493;Buckridge-Greenfelder;PowerShares KBW High Dividend Yield Financial Portfolio
494;Luettgen, Watsica And Kutch;Punitaqui
495;Cronin, Gibson And Parisian;Gilat Satellite Networks Ltd.
496;Baumbach, Mccullough And Larson;Tekla Healthcare Opportunies Fund
497;Bartoletti, Macejkovic And Doyle;SolarEdge Technologies, Inc.
498;Schuster-Kub;Chunghwa Telecom Co., Ltd.
499;Rath Group;PrivateBancorp, Inc.
500;Stark, Langworth And Kovacek;SQM - María Elena
501;Gaylord Inc;Cóndor
502;Senger-Bins;Avenue Therapeutics, Inc.
503;Barrows-Sauer;PowerShares KBW High Dividend Yield Financial Portfolio
504;Ryan, Stark And Medhurst;Midland States Bancorp, Inc.
505;Bechtelar-Wuckert;Check-Cap Ltd.
506;Kuvalis, Harris And Okuneva;Pure Cycle Corporation
507;Schimmel Inc;Destination XL Group, Inc.
508;Halvorson, Jacobson And Ward;Western Refining Logistics, LP
509;Wolf-Boehm;The9 Limited
510;Johnson And Sons;First Trust Multi-Asset Diversified Income Index Fund
511;Fisher, Cummings And Rowe;Blackstone GSO Long Short Credit Income Fund
512;Gutkowski ;Sarepta Therapeutics, Inc.
513;Christiansen ;SQM Salar
514;Dickens-Klein;iShares 20+ Year Treasury Bond ETF
515;Koelpin, Stehr And Senger;Spence
516;Langosh-Reilly;Waste Management, Inc.
517;Jakubowski ;AGCO Corporation
518;Mcclure Group;Virco Manufacturing Corporation
519;Bergstrom, Barrows And Shields;Cyclacel Pharmaceuticals, Inc.
520;Cronin Inc;El Soldado
521;Luettgen, Watsica And Kutch;NextEra Energy, Inc.
522;Hilll ;Microsemi Corporation
523;Nicolas Group;Patriot National Bancorp Inc.
524;Rippin-Effertz;Sarepta Therapeutics, Inc.
525;Predovic, O'Conner And Gutkowski;BLDRS Asia 50 ADR Index Fund
526;Bosco-Lockman;Great Elm Capital Corp.
527;Adane;RenaissanceRe Holdings Ltd.
528;Heidenreich, Boyer And Dach;Coirón
529;Doyle, Ernser And Pacocha;Forterra, Inc.
530;Kulas Inc;Punitaqui
531;Emard-Stroman;Haldeman - Sagasca
532;Kutch, Will And Grant;Xenia Hotels & Resorts, Inc.
533;Abshire, Crooks And Kassulke;SL Green Realty Corporation
534;Schmitt-Mckenzie;Los Bronces
535;Rice, Daniel And Klocko;Carola
536;Davis Inc;Chegg, Inc.
537;Schaden-Gleichner;SeaChange International, Inc.
538;Wunsch, Barrows And Hoeger;Northern Trust Corporation
539;Keebler-Stark;Pucobre
540;Sipes Group;Gilat Satellite Networks Ltd.
541;Carroll-Moen;Envision Healthcare Corporation
542;Watsica, Spencer And Weissnat;El Tesoro
543;Emmerich, Feil And Gorczany;Diageo plc
544;Russel Group;Pascua
545;Wisoky Inc;Cabot Corporation
546;Koss Group;Marte Lobo
547;Nolan Group;Texas Capital Bancshares, Inc.
548;Doyle-Jenkins;PowerShares Golden Dragon China Portfolio
549;Kling, Barrows And Rau;The9 Limited
550;Weimann And Sons;LTC Properties, Inc.
551;Bednar-Flatley;FTI Consulting, Inc.
552;Ritchie Group;Shutterstock, Inc.
553;Hagenes-Gutmann;Lambert
554;Willms-Jacobson;Can Can
