rid,lid
530,58
531,65
532,128
533,184
534,288
535,175
536,289
537,32
538,159
539,121
540,98
541,163
542,228
543,200
544,117
545,245
546,202
547,86
548,263
549,33
550,131
551,277
552,2
553,179
554,41
555,217
556,73
557,260
558,290
559,131
560,4
561,206
562,19
563,291
564,77
565,116
566,111
567,268
568,207
569,292
570,74
571,142
572,56
573,50
574,177
575,174
576,192
577,293
578,73
579,150
580,286
581,57
582,140
583,263
584,80
585,108
586,82
587,158
588,72
589,61
590,217
591,183
592,21
593,197
594,294
595,26
596,218
597,191
598,295
599,119
600,68
601,235
602,83
603,57
604,293
605,287
606,43
607,188
608,294
609,74
610,216
611,55
612,66
613,134
614,12
615,208
616,195
617,296
618,297
619,225
620,229
621,131
622,64
623,23
624,298
625,204
626,299
627,28
628,22
629,92
630,253
631,190
632,300
633,269
634,19
635,201
636,132
637,58
638,70
639,214
640,74
641,257
642,19
643,127
644,217
645,52
646,142
647,95
648,267
649,276
650,235
651,126
652,237
653,207
654,218
655,185
656,188
657,5
658,81
659,301
660,302
661,303
662,88
663,18
664,24
665,176
666,227
667,211
668,27
669,115
670,202
671,110
672,165
673,185
674,235
675,151
676,122
677,78
678,248
679,270
680,163
681,49
682,70
683,233
684,304
685,6
686,220
687,305
688,306
689,56
690,32
691,39
692,85
693,307
694,308
695,300
696,155
697,309
698,19
699,250
700,38
701,287
702,253
703,164
704,231
705,310
706,196
707,78
708,124
709,196
710,310
711,84
712,311
713,166
714,179
715,228
716,312
717,97
718,200
719,235
720,20
721,10
722,251
723,313
724,56
725,292
726,185
727,128
728,314
729,225
730,42
731,148
732,241
733,209
734,229
735,54
736,217
737,119
738,259
739,237
740,44
741,31
742,69
743,200
744,96
745,237
746,306
747,104
748,279
749,7
750,154
751,121
752,247
753,141
754,110
755,311
756,216
757,194
758,49
759,193
760,266
761,102
762,315
763,263
764,261
765,243
766,246
767,316
768,242
769,145
770,200
771,317
772,222
773,220
774,68
775,318
776,22
777,319
778,314
779,80
780,139
781,20
782,216
783,320
784,315
785,274
786,129
787,16
788,41
789,321
790,138
791,124
792,300
793,203
794,166
795,123
796,69
797,176
798,306
799,243
800,165
801,141
802,69
803,157
804,98
805,282
806,185
807,26
808,31
809,99
810,226
811,162
812,178
813,8
814,83
815,278
816,75
817,122
818,223
819,26
820,221
821,105
822,310
823,59
824,174
825,56
826,286
827,187
828,279
829,19
830,168
831,230
832,94
833,218
834,3
835,146
836,16
837,184
838,285
839,111
840,313
841,322
842,23
843,45
844,29
845,303
846,258
847,323
848,58
849,280
850,18
851,161
852,110
853,280
854,62
855,32
856,182
857,86
858,321
859,4
860,193
861,300
862,120
863,30
864,249
865,229
866,140
867,173
868,140
869,178
870,20
871,190
872,147
873,256
874,199
875,62
876,229
877,122
878,71
879,4
880,282
881,70
882,324
883,127
884,226
885,136
886,227
887,145
888,117
889,325
890,101
891,276
892,86
893,140
894,110
895,174
896,126
897,227
898,61
899,293
900,272
901,227
902,282
903,223
904,326
905,203
906,158
907,276
908,248
909,16
910,327
911,290
912,162
913,43
914,119
915,328
916,25
917,169
918,146
919,102
920,130
921,243
922,329
923,196
924,37
925,95
926,104
927,304
928,161
929,126
930,169
931,330
932,269
933,183
934,18
935,177
936,188
937,188
938,216
939,269
940,266
941,183
942,36
943,295
944,217
945,187
946,189
947,138
948,78
949,148
950,294
951,14
952,305
953,256
954,237
955,294
956,149
957,152
958,299
959,156
960,261
961,48
962,69
963,233
964,24
965,331
966,83
967,282
968,47
969,160
970,4
971,122
972,237
973,160
974,297
975,28
976,143
977,80
978,197
979,103
980,194
981,32
982,219
983,192
984,279
985,211
986,295
987,249
988,236
989,127
990,25
991,173
992,87
993,266
994,286
995,186
996,261
997,257
998,17
999,84
1000,108
1001,12
1002,207
1003,323
1004,325
1005,204
1006,128
1007,315
1008,314
1009,152
1010,285
1011,190
1012,202
1013,95
1014,308
1015,186
1016,5
1017,137
1018,88
1019,254
1020,54
1021,201
1022,326
1023,277
1024,284
1025,332
1026,62
1027,59
1028,328
1029,57
1030,333
1031,304
1032,232
1033,267
1034,120
1035,158
1036,309
1037,164
1038,15
1039,236
1040,296
1041,136
1042,49
1043,213
1044,270
1045,248
1046,188
1047,205
1048,319
1049,125
1050,238
1051,1
1052,238
1053,87
1054,80
1055,65
1056,299
1057,126
1058,171
1059,226
1060,96
1061,319
1062,281
1063,53
1064,264
1065,266
1066,108
1067,315
1068,309
1069,203
1070,127
1071,274
1072,193
1073,315
1074,202
1075,48
1076,101
1077,217
1078,274
1079,282
1080,30
1081,240
1082,250
1083,271
1084,75
1085,176
1086,240
1087,130
1088,140
1089,306
1090,119
1091,39
1092,147
1093,24
1094,142
1095,13
1096,171
1097,94
1098,331
1099,51
1100,196
1101,220
1102,186
1103,85
1104,196
1105,42
1106,93
1107,94
1108,32
1109,333
1110,212
1111,292
1112,52
1113,84
1114,98
1115,155
1116,278
1117,89
1118,334
1119,78
1120,262
1121,283
1122,254
1123,132
1124,24
1125,237
1126,276
1127,270
1128,67
1129,335
1130,336
1131,29
1132,255
1133,240
1134,310
1135,298
1136,55
1137,107
1138,337
1139,148
1140,325
1141,124
1142,95
1143,137
1144,178
1145,247
1146,309
1147,219
1148,288
1149,135
1150,33
1151,34
1152,129
1153,275
1154,197
1155,72
1156,275
1157,166
1158,263
1159,176
1160,314
1161,76
1162,110
1163,195
1164,200
1165,303
1166,63
1167,246
1168,216
1169,280
1170,272
1171,223
1172,8
1173,43
1174,237
1175,213
1176,289
1177,269
1178,32
1179,3
1180,80
1181,179
1182,280
1183,178
1184,63
1185,118
1186,119
1187,338
1188,266
1189,10
1190,47
1191,298
1192,290
1193,67
1194,155
1195,304
1196,182
1197,46
1198,146
1199,135
1200,339
1201,159
1202,47
1203,336
1204,3
1205,190
1206,248
1207,121
1208,12
1209,336
1210,245
1211,40
1212,326
1213,196
1214,259
1215,57
1216,52
1217,97
1218,293
1219,50
1220,213
1221,165
1222,95
1223,319
1224,60
1225,340
1226,275
1227,127
1228,244
1229,127
1230,17
1231,240
1232,83
1233,192
1234,39
1235,279
1236,295
1237,68
1238,341
1239,254
1240,129
1241,142
1242,63
1243,30
1244,283
1245,246
1246,336
1247,223
1248,164
1249,119
1250,31
1251,49
1252,230
1253,265
1254,54
1255,326
1256,292
1257,158
1258,186
1259,210
1260,67
1261,272
1262,195
1263,245
1264,165
1265,217
1266,176
1267,142
1268,279
1269,342
1270,26
1271,201
1272,6
1273,197
1274,21
1275,137
1276,134
1277,93
1278,310
1279,21
1280,157
1281,194
1282,75
1283,104
1284,19
1285,210
1286,60
1287,110
1288,286
1289,290
1290,188
1291,213
1292,318
1293,208
1294,159
1295,131
1296,283
1297,226
1298,312
1299,287
1300,72
1301,163
1302,286
1303,32
1304,69
1305,164
1306,48
1307,205
1308,138
1309,210
1310,255
1311,342
1312,204
1313,319
1314,116
1315,67
1316,84
1317,228
1318,330
1319,180
1320,321
1321,211
1322,212
1323,2
1324,325
1325,283
1326,103
1327,95
1328,93
1329,204
1330,8
1331,68
1332,294
1333,35
1334,92
1335,93
1336,9
1337,203
1338,266
1339,247
1340,150
1341,89
1342,216
1343,37
1344,69
1345,335
1346,328
1347,62
1348,277
1349,45
1350,260
1351,324
1352,16
1353,261
1354,108
1355,234
1356,310
1357,30
1358,60
1359,62
1360,306
1361,213
1362,249
1363,36
1364,35
1365,148
1366,331
1367,83
1368,131
1369,131
1370,214
1371,216
1372,190
1373,196
1374,202
1375,210
1376,226
1377,59
1378,10
1379,275
1380,209
1381,74
1382,330
1383,321
1384,257
1385,260
1386,301
1387,296
1388,196
1389,150
1390,165
1391,157
1392,202
1393,208
1394,22
1395,276
1396,288
1397,75
1398,214
1399,135
1400,149
1401,341
1402,168
1403,189
1404,16
1405,97
1406,48
1407,334
1408,112
1409,82
1410,242
1411,303
1412,271
1413,189
1414,228
1415,132
1416,240
1417,132
1418,332
1419,222
1420,267
1421,179
1422,165
1423,201
1424,212
1425,236
1426,212
1427,195
1428,81
1429,314
1430,259
1431,295
1432,292
1433,322
1434,62
1435,95
1436,149
1437,98
1438,39
1439,238
1440,324
1441,104
1442,43
1443,339
1444,307
1445,335
1446,183
1447,239
1448,210
1449,179
1450,313
1451,249
1452,339
1453,308
1454,264
1455,286
1456,88
1457,262
1458,343
1459,316
1460,180
1461,335
1462,6
1463,313
1464,129
1465,166
1466,47
1467,120
1468,119
1469,277
1470,151
1471,83
1472,311
1473,272
1474,191
1475,181
1476,210
1477,240
1478,131
1479,121
1480,312
1481,37
1482,246
1483,230
1484,94
1485,196
1486,119
1487,10
1488,323
1489,64
1490,259
1491,109
1492,299
1493,253
1494,161
1495,168
1496,209
1497,265
1498,230
1499,73
1500,22
1501,126
1502,229
1503,196
1504,335
1505,135
1506,66
1507,152
1508,301
1509,194
1510,298
1511,48
1512,105
1513,246
1514,270
1515,322
1516,40
1517,257
1518,246
1519,231
1520,72
1521,249
1522,71
1523,229
1524,63
1525,47
1526,6
1527,337
1528,301
1529,216
1530,279
1531,306
1532,67
1533,46
1534,44
1535,252
1536,319
1537,141
1538,143
1539,38
1540,186
1541,41
1542,292
1543,247
1544,80
1545,75
1546,323
1547,193
1548,144
1549,278
1550,344
1551,11
1552,345
1553,174
1554,184
1555,259
1556,170
1557,24
1558,122
1559,68
1560,122
1561,149
1562,77
1563,88
1564,218
1565,273
1566,33
1567,270
1568,183
1569,280
1570,336
1571,18
1572,316
1573,7
1574,87
1575,19
1576,278
1577,240
1578,246
1579,163
1580,1
1581,338
1582,251
1583,250
1584,26
1585,68
1586,139
1587,306
1588,192
1589,94
1590,269
1591,88
1592,247
1593,22
1594,233
1595,26
1596,159
1597,188
1598,25
1599,191
1600,155
1601,291
1602,244
1603,33
1604,37
1605,117
1606,244
1607,63
1608,233
1609,283
1610,165
1611,33
1612,250
1613,284
1614,52
1615,184
1616,173
1617,242
1618,71
1619,339
1620,49
1621,188
1622,114
1623,295
1624,227
1625,39
1626,148
1627,206
1628,163
1629,46
1630,298
1631,66
1632,232
1633,286
1634,341
1635,166
1636,123
1637,46
1638,44
1639,139
1640,70
1641,29
1642,126
1643,48
1644,247
1645,124
1646,234
1647,157
1648,343
1649,26
1650,157
1651,166
1652,170
1653,197
1654,13
1655,145
1656,283
1657,21
1658,134
1659,215
1660,270
1661,130
1662,214
1663,7
1664,290
1665,29
1666,218
1667,51
1668,230
1669,92
1670,186
1671,29
1672,252
1673,28
1674,127
1675,299
1676,120
1677,83
1678,158
1679,78
1680,213
1681,203
1682,142
1683,179
1684,242
1685,295
1686,256
1687,337
1688,253
1689,94
1690,308
1691,78
1692,20
1693,219
1694,48
1695,178
1696,98
1697,239
1698,338
1699,340
1700,34
1701,216
1702,329
1703,244
1704,316
1705,21
1706,319
1707,98
1708,268
1709,207
1710,313
1711,284
1712,88
1713,329
1714,210
1715,319
1716,46
1717,17
1718,211
1719,170
1720,5
1721,32
1722,223
1723,300
1724,311
1725,183
1726,107
1727,134
1728,265
1729,302
1730,319
1731,136
1732,113
1733,254
1734,201
1735,63
1736,159
1737,43
1738,288
1739,4
1740,231
1741,104
1742,295
1743,234
1744,157
1745,259
1746,308
1747,250
1748,181
1749,316
1750,107
1751,81
1752,34
1753,336
1754,249
1755,282
1756,88
1757,338
1758,25
1759,343
1760,320
1761,173
1762,79
1763,325
1764,123
1765,252
1766,83
1767,86
1768,129
1769,19
1770,211
1771,227
1772,130
1773,6
1774,340
1775,313
1776,41
1777,59
1778,151
1779,269
1780,338
1781,218
1782,59
1783,62
1784,222
1785,300
1786,302
1787,261
1788,60
1789,301
1790,322
1791,141
1792,294
1793,45
1794,318
1795,44
1796,290
1797,24
1798,131
1799,265
1800,248
1801,198
1802,155
1803,289
1804,322
1805,271
1806,288
1807,188
1808,294
1809,150
1810,13
1811,301
1812,207
1813,114
1814,6
1815,303
1816,179
1817,4
1818,149
1819,20
1820,282
1821,186
1822,335
1823,242
1824,230
1825,90
1826,272
1827,212
1828,36
1829,307
1830,295
1831,222
1832,143
1833,134
1834,232
1835,333
1836,205
1837,260
1838,298
1839,128
1840,293
1841,251
1842,279
1843,282
1844,268
1845,67
1846,79
1847,143
1848,278
1849,181
1850,249
1851,146
1852,28
1853,322
1854,295
1855,49
1856,195
1857,40
1858,309
1859,147
1860,271
1861,171
1862,317
1863,206
1864,116
1865,244
1866,190
1867,341
1868,175
1869,89
1870,169
1871,29
1872,244
1873,196
1874,110
1875,126
1876,79
1877,200
1878,79
1879,32
1880,192
1881,119
1882,156
1883,88
1884,206
1885,192
1886,56
1887,219
1888,148
1889,188
1890,215
1891,138
1892,229
1893,262
1894,276
1895,279
1896,108
1897,283
1898,297
1899,312
1900,227
1901,75
1902,98
1903,9
1904,254
1905,27
1906,45
1907,83
1908,145
1909,89
1910,324
1911,135
1912,290
1913,160
1914,47
1915,182
1916,31
1917,233
1918,224
1919,237
1920,233
1921,150
1922,72
1923,188
1924,11
1925,27
1926,47
1927,325
1928,259
1929,156
1930,19
1931,333
1932,346
1933,114
1934,165
1935,259
1936,309
1937,123
1938,176
1939,291
1940,148
1941,152
1942,174
1943,206
1944,21
1945,36
1946,136
1947,2
1948,80
1949,210
1950,136
1951,302
1952,181
1953,24
1954,275
1955,188
1956,111
1957,44
1958,21
1959,155
1960,251
1961,17
1962,72
1963,57
1964,92
1965,262
1966,17
1967,49
1968,79
1969,329
1970,56
1971,141
1972,280
1973,4
1974,23
1975,241
1976,235
1977,343
1978,82
1979,252
1980,279
1981,241
1982,306
1983,25
1984,137
1985,52
1986,160
1987,289
1988,256
1989,318
1990,279
1991,196
1992,252
1993,46
1994,12
1995,60
1996,196
1997,295
1998,54
1999,142
2000,36
2001,45
2002,277
2003,310
2004,201
2005,122
2006,224
2007,5
2008,194
2009,146
2010,340
2011,289
2012,194
2013,280
2014,249
2015,318
2016,304
2017,110
2018,72
2019,118
2020,95
2021,260
2022,213
2023,112
2024,121
2025,258
2026,174
2027,73
2028,168
2029,123
2030,250
2031,226
2032,245
2033,330
2034,116
2035,222
2036,46
2037,316
2038,31
2039,343
2040,314
2041,256
2042,31
2043,28
2044,168
2045,132
2046,109
2047,45
2048,232
2049,72
2050,207
2051,325
2052,66
2053,260
2054,104
2055,340
2056,343
2057,241
2058,61
2059,255
2060,88
2061,146
2062,177
2063,41
2064,147
2065,149
2066,2
2067,312
2068,196
2069,173
2070,61
2071,34
2072,251
2073,67
2074,108
2075,327
2076,143
2077,151
2078,287
2079,171
2080,140
2081,295
2082,283
2083,94
2084,109
2085,285
2086,140
2087,275
2088,342
2089,300
2090,237
2091,278
2092,179
2093,145
2094,223
2095,305
2096,117
2097,67
2098,315
2099,213
2100,184
2101,277
2102,316
2103,166
2104,269
2105,295
2106,253
2107,161
2108,20
2109,346
2110,294
2111,104
2112,94
2113,309
2114,204
2115,163
2116,299
2117,35
2118,311
2119,163
2120,2
2121,297
2122,81
2123,77
2124,297
2125,318
2126,290
2127,18
2128,172
2129,59
2130,150
2131,307
2132,90
2133,270
2134,333
2135,170
2136,249
2137,223
2138,47
2139,121
2140,267
2141,335
2142,169
2143,31
2144,118
2145,29
2146,167
2147,217
2148,295
2149,166
2150,117
2151,235
2152,269
2153,165
2154,249
2155,288
2156,74
2157,232
2158,329
2159,197
2160,59
2161,63
2162,339
2163,138
2164,141
2165,231
2166,175
2167,275
2168,252
2169,324
2170,254
2171,318
2172,61
2173,165
2174,289
2175,125
2176,39
2177,300
2178,105
2179,283
2180,253
2181,92
2182,72
2183,112
2184,234
2185,68
2186,186
2187,296
2188,191
2189,81
2190,280
2191,298
2192,139
2193,276
2194,309
2195,176
2196,304
2197,165
2198,162
2199,32
2200,34
2201,129
2202,92
2203,246
2204,48
2205,33
2206,191
2207,30
2208,344
2209,267
2210,281
2211,98
2212,123
2213,204
2214,252
2215,114
2216,127
2217,166
2218,16
2219,190
2220,21
2221,260
2222,181
2223,18
2224,172
2225,185
2226,84
2227,151
2228,282
2229,215
2230,100
2231,102
2232,208
2233,310
2234,28
2235,61
2236,12
2237,250
2238,90
2239,33
2240,4
2241,199
2242,137
2243,19
2244,64
2245,153
2246,104
2247,318
2248,249
2249,212
2250,5
2251,265
2252,254
2253,42
2254,332
2255,23
2256,128
2257,310
2258,194
2259,281
2260,285
2261,121
2262,104
2263,85
2264,309
2265,223
2266,195
2267,218
2268,175
2269,337
2270,93
2271,134
2272,202
2273,206
2274,39
2275,147
2276,62
2277,17
2278,100
2279,193
2280,208
2281,98
2282,63
2283,213
2284,23
2285,292
2286,74
2287,28
2288,123
2289,229
2290,92
2291,101
2292,339
2293,131
2294,329
2295,259
2296,30
2297,25
2298,82
2299,3
2300,200
2301,74
2302,117
2303,16
2304,317
2305,176
2306,163
2307,273
2308,23
2309,247
2310,125
2311,91
2312,300
2313,17
2314,312
2315,103
2316,343
2317,65
2318,256
2319,282
2320,327
2321,226
2322,245
2323,48
2324,243
2325,17
2326,296
2327,52
2328,36
2329,28
2330,258
2331,262
2332,167
2333,345
2334,73
2335,40
2336,100
2337,293
2338,231
2339,229
2340,292
2341,338
2342,184
2343,228
2344,284
2345,279
2346,176
2347,247
2348,53
2349,295
2350,158
2351,80
2352,312
2353,115
2354,295
2355,280
2356,317
2357,59
2358,181
2359,304
2360,153
2361,138
2362,232
2363,4
2364,85
2365,132
2366,318
2367,103
2368,190
2369,182
2370,98
2371,1
2372,215
2373,344
2374,194
2375,124
2376,8
2377,300
2378,214
2379,251
2380,197
2381,180
2382,236
2383,7
2384,48
2385,94
2386,229
2387,326
2388,245
2389,229
2390,205
2391,248
2392,40
2393,227
2394,99
2395,70
2396,121
2397,64
2398,110
2399,55
2400,340
2401,179
2402,63
2403,41
2404,244
2405,209
2406,64
2407,211
2408,188
2409,84
2410,42
2411,262
2412,13
2413,143
2414,295
2415,266
2416,110
2417,285
2418,122
2419,342
2420,249
2421,302
2422,297
2423,124
2424,341
2425,287
2426,323
2427,57
2428,277
2429,278
2430,116
2431,2
2432,168
2433,303
2434,16
2435,9
2436,262
2437,260
2438,90
2439,261
2440,289
2441,330
2442,146
2443,2
2444,268
2445,129
2446,118
2447,166
2448,150
2449,306
2450,345
2451,139
2452,30
2453,76
2454,227
2455,23
2456,87
2457,316
2458,4
2459,115
2460,24
2461,207
2462,38
2463,221
2464,95
2465,78
2466,293
2467,259
2468,319
2469,61
2470,149
2471,54
2472,172
2473,117
2474,310
2475,43
2476,137
2477,246
2478,86
2479,228
2480,203
2481,32
2482,167
2483,237
2484,27
2485,81
2486,212
2487,256
2488,85
2489,24
2490,86
2491,127
2492,209
2493,184
2494,167
2495,289
2496,276
2497,95
2498,139
2499,170
2500,282
2501,207
2502,280
2503,341
2504,96
2505,230
2506,30
2507,261
2508,41
2509,170
2510,146
2511,118
2512,323
2513,149
2514,226
2515,229
2516,263
2517,79
2518,217
2519,79
2520,145
2521,14
2522,119
2523,340
2524,196
2525,21
2526,225
2527,200
2528,41
2529,218
2530,239
2531,65
2532,221
2533,198
2534,23
2535,289
2536,109
2537,20
2538,331
2539,338
2540,99
2541,151
2542,264
2543,5
2544,266
2545,20
2546,70
2547,325
2548,231
2549,253
2550,169
2551,81
2552,240
2553,245
2554,229
2555,337
2556,77
2557,194
2558,53
2559,338
2560,341
2561,321
2562,174
2563,75
2564,330
2565,323
2566,330
2567,114
2568,189
2569,273
2570,105
2571,91
2572,300
2573,74
2574,46
2575,208
2576,332
2577,168
2578,10
2579,293
2580,100
2581,96
2582,91
2583,90
2584,212
2585,341
2586,112
2587,280
2588,268
2589,153
2590,269
2591,52
2592,301
2593,98
2594,221
2595,37
2596,237
2597,221
2598,327
2599,49
2600,304
2601,280
2602,46
2603,114
2604,170
2605,269
2606,153
2607,56
2608,16
2609,189
2610,281
2611,166
2612,78
2613,189
2614,67
2615,124
2616,318
2617,161
2618,150
2619,109
2620,310
2621,19
2622,6
2623,331
2624,8
2625,125
2626,64
2627,258
2628,160
2629,299
2630,289
2631,92
2632,87
2633,328
2634,13
2635,265
2636,32
2637,338
2638,11
2639,179
2640,272
2641,153
2642,159
2643,228
2644,317
2645,329
2646,300
2647,270
2648,296
2649,343
2650,236
2651,345
2652,120
2653,16
2654,230
2655,160
2656,128
2657,203
2658,28
2659,308
2660,1
2661,23
2662,89
2663,265
2664,202
2665,343
2666,220
2667,192
2668,322
2669,162
2670,107
2671,13
2672,39
2673,306
2674,283
2675,295
2676,221
2677,185
2678,201
2679,165
2680,133
2681,180
2682,313
2683,325
2684,254
2685,115
2686,224
2687,42
2688,317
2689,25
2690,83
2691,149
2692,225
2693,138
2694,125
2695,321
2696,150
2697,102
2698,229
2699,280
2700,156
2701,307
2702,50
2703,275
2704,142
2705,88
2706,256
2707,144
2708,292
2709,227
2710,177
2711,135
2712,70
2713,139
2714,107
2715,323
2716,28
2717,16
2718,252
2719,267
2720,116
2721,186
2722,54
2723,160
2724,1
2725,142
2726,186
2727,119
2728,266
2729,221
2730,313
2731,186
2732,104
2733,60
2734,183
2735,28
2736,219
2737,21
2738,89
2739,226
2740,108
2741,266
2742,165
2743,278
2744,35
2745,259
2746,50
2747,235
2748,81
2749,285
2750,295
2751,57
2752,21
2753,318
2754,219
2755,80
2756,89
2757,320
2758,287
2759,62
2760,189
2761,294
2762,311
2763,203
2764,183
2765,160
2766,184
2767,164
2768,36
2769,63
2770,161
2771,213
2772,5
2773,155
2774,340
2775,34
2776,333
2777,101
2778,17
2779,66
2780,206
2781,7
2782,84
2783,56
2784,88
2785,160
2786,214
2787,124
2788,202
2789,78
2790,101
2791,211
2792,26
2793,190
2794,288
2795,14
2796,131
2797,259
2798,225
2799,286
2800,19
2801,7
2802,139
2803,63
2804,204
2805,187
2806,67
2807,147
2808,93
2809,63
2810,260
2811,238
2812,326
2813,256
2814,60
2815,173
2816,253
2817,302
2818,121
2819,49
2820,150
2821,101
2822,198
2823,130
2824,139
2825,279
2826,338
2827,225
2828,96
2829,228
2830,9
2831,332
2832,330
2833,110
2834,94
2835,124
2836,128
2837,238
2838,172
2839,18
2840,50
2841,98
2842,166
2843,212
2844,249
2845,263
2846,258
2847,48
2848,327
2849,8
2850,191
2851,266
2852,179
2853,76
2854,273
2855,264
2856,332
2857,88
2858,226
2859,24
2860,144
2861,168
2862,306
2863,94
2864,158
2865,35
2866,41
2867,41
2868,68
2869,133
2870,55
2871,7
2872,144
2873,337
2874,5
2875,346
2876,252
2877,275
2878,322
2879,250
2880,218
2881,114
2882,237
2883,8
2884,51
2885,288
2886,177
2887,119
2888,137
2889,259
2890,159
2891,111
2892,71
2893,62
2894,304
2895,205
2896,52
2897,248
2898,160
2899,247
2900,89
2901,113
2902,228
2903,152
2904,288
2905,97
2906,89
2907,82
2908,295
2909,41
2910,141
2911,10
2912,309
2913,79
2914,181
2915,303
2916,23
2917,145
2918,51
2919,128
2920,175
2921,151
2922,274
2923,292
2924,32
2925,15
2926,141
2927,322
2928,284
2929,300
2930,166
2931,69
2932,33
2933,188
2934,274
2935,239
2936,165
2937,112
2938,189
2939,123
2940,336
2941,285
2942,47
2943,18
2944,181
2945,343
2946,263
2947,118
2948,225
2949,337
2950,117
2951,90
2952,127
2953,189
2954,34
2955,157
2956,170
2957,141
2958,304
2959,166
2960,269
2961,299
2962,135
2963,169
2964,337
2965,228
2966,291
2967,227
2968,315
2969,18
2970,230
2971,125
2972,236
2973,168
2974,46
2975,331
2976,28
2977,121
2978,52
2979,83
2980,29
2981,211
2982,275
2983,244
2984,224
2985,139
2986,126
2987,143
2988,16
2989,93
2990,128
2991,343
2992,199
2993,110
2994,309
2995,62
2996,199
2997,214
