rid,oid
328,496
328,678
328,822
328,17
329,823
329,824
329,825
329,446
329,752
330,826
330,430
330,827
330,439
330,504
331,176
331,436
331,438
332,497
332,712
332,613
332,7
332,427
332,717
333,476
333,680
333,351
333,416
333,828
333,170
334,122
334,484
334,829
335,82
335,298
335,518
335,830
335,198
335,371
336,223
336,265
336,246
336,649
336,831
337,631
337,832
337,117
337,569
337,307
337,731
338,750
338,426
338,620
338,789
338,220
338,807
338,93
339,206
339,833
339,462
339,39
339,172
339,834
339,326
339,779
339,578
340,257
340,317
340,248
340,411
340,474
340,370
340,194
341,716
341,835
341,598
341,187
341,829
341,54
341,646
342,836
342,529
342,448
342,321
342,807
342,439
342,194
343,512
343,498
343,724
343,65
343,226
343,837
343,378
344,507
344,562
344,695
344,391
344,587
345,470
345,788
345,485
345,805
345,730
345,511
346,426
346,458
346,838
346,246
346,572
347,758
347,839
347,793
347,99
347,406
348,137
348,840
348,681
348,432
348,841
349,336
350,74
350,675
350,748
350,579
350,214
351,292
351,842
351,751
351,638
351,228
351,649
352,843
352,844
352,330
352,388
352,446
352,362
353,356
353,798
353,672
353,282
353,31
353,403
353,845
354,846
354,497
354,633
354,749
354,99
354,8
355,155
355,185
355,847
355,562
355,283
356,743
356,339
356,261
356,85
356,335
356,753
356,135
356,3
357,45
357,21
357,754
357,517
357,321
357,220
357,722
358,848
358,201
358,849
358,850
359,573
359,101
359,107
359,764
360,190
360,637
360,204
360,463
360,812
360,730
360,48
361,277
361,335
361,851
362,136
362,495
362,458
362,293
362,193
363,142
363,390
363,405
363,199
363,718
364,824
364,66
364,680
365,252
365,27
365,5
365,772
366,716
366,9
366,795
366,852
366,225
366,472
366,645
367,9
367,298
367,273
367,408
367,279
367,424
368,240
368,853
368,260
368,854
369,69
369,352
369,279
369,38
369,335
369,696
370,785
370,311
370,592
371,679
371,662
371,471
371,500
372,15
372,594
372,534
372,855
373,229
373,402
373,611
373,292
373,669
373,856
373,757
374,453
374,566
374,857
374,853
374,783
375,293
375,784
375,563
375,502
375,158
375,522
375,177
376,858
376,695
376,441
377,216
377,440
377,859
377,352
378,439
378,24
378,324
378,860
378,423
378,210
378,718
379,576
379,206
379,321
380,750
380,701
380,204
380,564
380,233
380,822
380,487
381,240
381,681
381,223
381,861
381,505
381,820
382,159
382,738
382,254
382,862
383,672
383,563
383,332
383,863
383,864
383,865
384,32
384,4
384,779
384,266
385,676
385,646
385,723
385,866
386,701
386,563
386,443
386,395
387,222
387,653
387,364
387,738
387,767
387,544
387,490
387,718
388,687
388,150
388,823
388,557
388,649
389,127
389,532
389,354
389,156
389,302
390,867
390,458
390,868
390,422
390,302
390,869
391,609
391,284
391,315
391,647
391,697
392,525
392,455
392,791
392,36
392,582
392,236
393,382
393,76
393,772
393,870
393,29
394,345
394,740
394,815
394,36
394,853
395,640
395,457
395,755
395,273
395,235
395,646
396,565
396,846
396,43
396,463
397,142
397,565
397,871
397,105
397,818
397,552
397,856
398,872
398,254
398,873
398,874
398,711
399,875
399,667
399,404
399,188
399,169
399,757
400,240
400,411
400,349
400,876
400,709
400,355
401,264
401,851
401,755
401,621
401,776
402,552
402,542
402,369
403,49
403,851
403,592
403,65
403,125
403,289
404,575
404,571
404,877
404,166
405,401
405,23
405,677
405,233
405,390
405,544
406,96
406,82
406,695
406,315
406,878
406,548
407,89
407,471
407,237
407,879
407,29
407,496
408,277
408,563
408,69
409,229
409,509
409,258
409,431
409,880
409,881
409,171
409,646
410,523
410,833
410,534
410,161
410,479
410,193
411,819
411,80
411,882
411,106
411,478
412,92
412,251
412,53
412,445
413,844
413,661
413,322
413,66
413,883
413,55
414,758
414,239
414,580
415,5
415,636
415,119
415,231
415,454
415,371
416,860
416,192
416,198
416,170
416,301
417,271
417,585
417,5
417,565
418,691
418,212
418,164
418,381
418,884
418,693
419,885
419,750
419,71
419,100
420,886
420,358
420,179
420,720
421,227
421,28
421,508
421,253
422,387
422,887
422,888
422,564
422,628
423,188
423,217
423,605
424,86
424,857
424,854
425,382
425,480
425,71
425,855
426,422
426,549
426,403
427,197
427,416
427,886
427,353
427,309
427,429
428,577
428,787
428,45
429,561
429,82
429,63
429,722
430,430
430,531
430,833
430,547
430,25
430,171
431,811
431,434
431,369
431,293
431,372
432,748
432,188
432,715
432,220
432,746
432,438
433,850
433,692
433,548
433,350
434,136
434,533
434,152
434,820
434,869
435,136
435,150
435,738
435,470
435,543
435,710
435,506
436,832
436,889
436,269
436,890
436,551
437,77
437,333
437,164
437,337
437,200
437,302
437,193
438,275
438,891
438,489
438,366
438,295
438,801
438,443
438,773
439,263
439,719
439,389
439,26
439,888
439,505
439,881
439,657
440,325
440,721
440,76
440,11
441,433
441,142
441,724
441,770
441,892
441,244
442,88
442,69
442,154
442,612
442,868
442,189
442,714
442,694
443,349
443,554
444,673
444,761
444,660
444,334
444,886
444,447
445,785
445,738
445,592
445,893
445,520
445,466
446,887
446,793
446,613
446,204
446,312
446,665
446,316
446,393
447,651
448,673
448,799
448,894
448,23
448,78
448,849
448,186
449,802
449,497
449,872
449,71
449,307
449,251
450,364
450,500
450,181
450,450
450,895
451,896
451,256
451,63
451,121
451,300
452,62
452,108
452,547
452,202
452,112
453,897
453,698
453,482
453,541
453,100
453,898
453,616
453,647
454,420
454,27
454,520
454,60
454,487
454,290
455,88
455,899
455,502
455,241
456,49
456,271
456,517
456,800
456,711
456,3
456,95
457,499
457,392
457,300
457,900
457,234
457,442
457,348
458,543
458,63
458,58
458,340
459,901
459,36
459,151
459,860
460,191
460,226
460,168
460,837
460,521
460,13
461,604
461,413
462,14
462,867
462,819
462,208
462,223
462,152
463,536
463,408
463,217
463,778
463,438
463,902
464,116
464,903
464,268
464,624
464,904
465,127
465,197
465,203
465,511
465,905
466,430
466,133
466,906
466,164
466,655
466,859
466,907
467,179
467,56
467,343
467,571
467,85
467,908
467,331
467,817
468,409
468,256
468,537
468,796
468,909
468,133
469,617
469,399
470,910
470,911
470,57
470,857
470,816
470,168
471,912
471,433
471,138
471,458
472,221
472,453
472,828
472,468
472,80
473,913
473,426
473,388
473,704
473,756
474,421
474,46
474,674
474,328
474,479
475,673
475,398
475,612
475,164
475,393
475,328
476,780
476,759
476,831
476,17
477,530
477,836
477,885
477,868
477,315
478,914
478,701
478,204
478,791
478,369
478,869
478,540
479,341
479,848
479,16
479,277
479,367
479,865
480,459
480,915
480,145
480,608
480,302
481,227
481,599
481,490
481,468
482,673
482,284
482,231
482,916
482,751
483,459
483,861
483,430
483,565
484,356
484,687
484,701
484,873
484,647
484,808
485,389
485,20
485,500
486,272
486,483
486,537
486,314
486,223
486,130
487,341
487,440
487,566
487,917
487,767
487,183
488,179
488,56
488,599
488,385
488,579
489,918
489,255
489,394
489,238
490,812
490,909
490,864
490,468
491,45
491,584
491,168
491,874
491,141
492,276
492,919
492,851
492,763
492,708
493,187
493,51
493,770
493,526
494,150
494,254
494,844
494,121
494,647
494,95
495,340
495,339
495,122
495,216
495,920
495,825
495,902
496,50
496,835
496,472
496,435
496,487
497,766
497,318
497,585
497,849
497,233
497,38
497,428
498,620
498,893
498,672
498,762
499,575
499,921
499,540
500,686
500,334
500,264
500,666
501,874
501,673
501,743
501,52
502,544
502,304
502,362
502,813
503,802
503,35
503,227
503,158
503,640
504,761
504,696
505,73
505,60
505,776
505,581
506,852
507,630
507,92
507,153
508,187
508,31
508,922
508,172
509,652
509,448
509,208
509,610
509,454
509,104
510,21
510,1
510,251
510,372
511,489
511,465
511,567
511,573
511,923
512,530
512,570
512,361
512,542
512,924
512,337
513,925
513,911
514,543
514,716
514,737
514,308
515,17
515,833
515,926
515,541
515,255
515,753
515,167
516,768
516,550
516,119
516,881
517,319
517,511
517,242
518,698
518,470
518,448
518,418
519,814
519,633
519,541
519,815
519,134
519,927
519,301
519,905
520,118
520,887
520,249
520,622
520,93
521,928
521,531
521,361
521,812
521,394
521,242
521,225
521,506
522,400
522,380
522,688
522,324
523,584
523,536
523,916
523,559
523,929
523,528
524,407
524,601
524,730
524,428
524,930
525,730
525,421
525,119
525,173
526,432
526,291
526,502
526,203
527,476
528,264
528,383
528,559
528,128
528,931
529,746
529,929
530,885
530,179
530,230
530,763
531,745
531,454
531,7
531,708
531,783
531,61
531,87
532,415
532,330
532,242
532,879
532,534
533,802
533,554
533,388
533,376
533,932
534,501
534,634
534,181
534,375
535,405
535,242
535,188
535,690
535,535
535,205
535,596
536,114
536,69
536,70
536,359
536,164
536,877
536,200
537,530
537,377
537,409
537,455
537,129
537,55
538,526
538,740
538,360
538,528
538,933
538,428
539,354
539,197
539,934
539,902
540,400
540,818
540,48
540,739
541,173
541,564
541,365
541,572
542,913
542,489
542,253
542,916
542,614
542,131
543,44
543,749
543,856
543,739
544,149
544,712
544,760
544,919
544,26
544,935
545,582
545,278
545,78
545,936
546,633
546,937
546,938
546,477
546,574
546,776
546,72
547,73
547,849
547,800
547,864
548,148
548,896
548,533
548,939
548,527
549,229
549,940
549,455
549,572
549,61
549,406
550,803
550,587
550,651
551,842
551,839
551,52
552,603
552,61
552,315
552,941
553,460
553,942
553,819
553,623
553,647
554,640
554,119
554,793
554,290
554,122
554,226
554,642
555,672
555,637
555,223
555,542
555,266
555,2
555,166
555,376
556,433
556,758
556,339
556,468
556,75
556,210
556,670
557,529
557,943
557,944
557,242
557,385
557,879
558,50
558,590
558,542
558,767
558,519
558,122
559,158
559,260
559,584
560,562
560,462
560,945
560,140
560,113
560,831
561,210
561,696
561,120
561,686
562,1
562,69
562,264
562,284
562,576
562,722
563,298
563,612
563,464
563,817
563,521
564,407
564,17
564,224
564,193
564,503
565,844
565,788
565,455
565,618
565,892
566,49
566,588
566,303
566,890
566,93
566,581
566,629
567,635
567,323
567,100
567,617
567,752
568,215
568,918
568,79
568,889
569,310
569,583
569,145
569,880
569,491
569,946
569,439
570,421
570,689
570,397
570,321
570,947
570,523
571,150
571,610
571,304
571,562
571,948
572,49
572,804
572,224
572,348
573,110
573,392
573,814
574,130
574,307
574,778
574,101
574,54
575,943
575,674
575,385
575,367
575,486
576,754
576,633
576,705
577,482
577,383
577,139
577,599
577,133
577,53
577,101
578,687
578,458
578,696
578,255
579,248
579,15
579,789
579,386
579,895
580,609
580,392
580,105
580,816
580,391
580,424
580,3
581,748
581,295
581,710
581,147
581,503
581,797
581,72
581,13
582,947
582,815
582,205
583,212
583,726
583,915
583,183
583,365
584,97
584,350
584,40
584,898
584,28
585,519
585,949
585,474
585,346
585,478
586,809
586,446
586,940
587,30
587,281
588,795
588,115
588,748
588,309
589,487
589,36
589,531
590,744
590,785
590,803
590,665
590,38
590,504
591,310
591,282
591,592
591,890
591,371
592,458
592,949
592,33
592,936
592,821
593,297
593,941
593,950
593,951
593,952
593,176
594,422
594,447
594,280
595,114
595,728
595,94
595,135
595,629
596,897
596,871
596,122
596,873
596,578
597,323
597,4
597,284
597,104
597,60
597,371
598,533
598,647
598,917
599,823
599,28
599,941
599,952
600,495
600,726
600,881
600,807
600,596
601,591
601,579
601,665
601,417
601,348
602,858
602,565
602,470
602,651
602,227
603,481
603,318
603,560
603,290
603,399
603,671
604,345
604,744
604,741
604,233
604,514
604,953
605,944
605,407
605,936
605,241
606,954
606,298
606,157
606,122
606,734
607,271
607,615
607,945
607,368
607,234
607,721
607,135
608,637
608,551
608,297
608,792
609,716
609,75
609,733
609,763
610,323
610,84
610,837
610,507
610,29
611,53
611,135
611,884
612,584
612,254
612,352
612,690
612,812
613,51
613,656
613,141
613,535
613,722
614,946
614,433
614,659
614,386
614,486
615,672
615,683
615,308
615,608
615,308
616,732
616,350
616,294
616,306
616,61
617,339
617,751
617,900
617,270
617,756
618,635
618,914
618,532
618,434
618,52
618,655
619,326
619,692
619,506
619,4
620,159
620,699
620,955
620,650
620,439
620,722
621,50
621,119
621,360
621,753
621,718
622,57
622,284
622,743
622,605
622,677
622,906
622,42
622,953
623,897
623,899
623,662
623,659
623,308
624,410
624,76
624,828
624,145
624,820
624,956
624,527
625,159
625,56
625,36
625,344
625,708
625,757
626,885
626,799
626,390
627,957
627,311
627,543
627,273
627,490
628,28
628,51
628,213
628,527
629,287
629,653
629,484
629,261
629,78
629,380
630,766
630,76
630,90
630,877
630,863
630,682
631,516
631,850
631,557
631,693
631,551
631,568
632,414
632,839
632,555
632,924
633,826
633,366
633,324
633,599
633,72
634,958
634,431
634,291
634,7
634,808
635,1
635,154
635,57
635,959
635,956
635,781
635,831
636,207
636,784
636,291
636,923
636,535
637,290
637,376
637,902
638,691
638,116
638,491
638,882
638,573
639,431
639,860
639,756
639,561
639,301
640,585
640,960
640,733
640,48
640,503
641,230
641,269
641,804
641,322
641,59
641,961
642,392
642,615
642,427
642,435
642,932
643,469
643,911
643,781
643,491
644,344
644,724
644,734
644,41
645,136
645,282
645,143
645,314
645,704
645,123
646,700
646,364
647,601
647,600
647,571
647,544
647,66
647,436
648,25
648,338
649,566
649,641
649,644
649,13
650,84
650,723
650,202
651,137
651,799
651,871
651,962
651,393
652,688
652,483
652,333
652,857
652,714
652,48
653,911
653,119
653,736
653,17
653,809
653,821
654,892
654,698
655,197
655,747
655,2
656,689
656,366
656,180
656,294
656,94
657,716
657,366
657,593
657,536
658,30
658,541
658,60
658,963
659,512
659,230
659,680
659,180
659,363
660,150
660,46
660,26
660,964
660,126
660,347
660,595
661,190
661,575
661,84
661,294
661,574
661,534
662,965
662,661
662,470
662,908
663,247
663,598
663,938
663,519
663,173
664,912
664,638
664,568
664,863
665,96
665,802
665,938
665,918
665,501
666,698
666,668
666,337
666,423
666,156
666,959
666,746
667,874
667,364
667,643
668,872
668,258
669,843
669,532
669,24
669,185
669,685
669,370
669,810
669,907
669,13
670,664
670,420
670,966
670,311
670,79
670,967
671,636
671,178
671,678
671,21
671,60
672,968
672,119
672,231
672,197
672,518
673,887
673,383
673,475
673,969
673,81
673,859
673,13
674,127
674,642
674,371
674,282
675,567
675,333
675,416
675,763
675,918
675,344
675,464
676,335
676,105
676,502
676,102
677,946
677,201
677,22
677,829
678,946
678,412
678,432
678,146
678,904
678,587
679,759
679,64
679,165
679,555
679,162
680,753
680,255
681,456
681,184
681,433
681,411
682,425
682,207
682,325
682,952
682,965
683,278
683,611
683,257
683,489
684,97
684,562
684,813
684,165
684,581
684,429
685,187
685,746
685,363
685,350
686,575
686,172
686,444
686,915
686,646
687,397
687,351
687,468
687,41
687,299
687,365
687,970
688,342
688,919
688,300
688,721
688,757
689,342
689,711
689,716
689,925
690,918
690,723
690,207
691,866
691,189
691,41
691,386
691,102
692,672
692,785
692,325
692,665
692,301
692,522
692,141
693,74
693,407
693,426
693,852
693,648
693,782
694,341
694,207
694,861
694,188
694,198
695,712
695,899
695,577
695,301
695,347
696,451
696,653
696,633
696,668
696,657
696,215
697,652
697,50
697,132
697,920
