rid,fecha_dictamen
1587,13-08-2019
1589,29-11-1982
1591,21-08-2016
1596,18-04-2006
1597,26-12-2010
1598,01-01-2018
1599,26-04-2003
1602,05-03-1969
1605,18-06-2018
1606,10-09-2014
1607,22-11-1985
1610,29-01-2019
1611,07-04-2009
1623,17-03-2003
1627,31-12-2013
1631,26-06-1989
1636,15-04-2019
1641,05-07-2019
1642,15-06-2019
1643,20-09-2018
1649,28-02-1987
1650,19-03-2019
1654,24-06-1997
1655,10-08-2019
1659,25-08-2019
1661,11-03-2019
1663,23-09-2016
1666,01-01-2010
1670,26-08-2017
1672,05-06-1996
1675,05-12-2007
1676,31-10-2009
1681,10-03-2011
1682,05-09-2013
1683,31-05-2016
1687,02-01-2014
1690,13-12-2017
1693,16-05-2019
1694,06-08-2014
1707,30-06-1999
1708,14-03-1988
1709,18-05-2016
1711,24-04-2014
1719,01-04-2019
1720,15-04-2018
1723,18-10-2000
1724,13-02-2014
1726,13-05-1996
1730,30-09-2007
1731,26-11-2017
1735,28-02-2011
1739,18-08-2014
1741,18-07-2018
1743,12-08-2017
1744,20-01-2001
1749,30-11-2015
1750,11-02-2018
1756,30-05-2017
1758,11-12-2017
1759,01-09-2017
1760,26-05-2015
1762,03-04-2016
1764,09-08-2018
1765,12-09-2017
1772,09-07-2018
1776,30-10-2013
1778,28-03-2016
1789,20-12-2010
1790,27-11-1973
1794,08-01-2019
1797,29-10-1959
1801,05-12-2014
1803,20-05-2010
1806,01-05-2015
1808,27-02-1977
1813,01-12-2010
1814,05-06-2001
1815,19-07-2019
1816,03-02-2019
1817,28-09-1995
1820,26-02-2010
1821,17-06-2017
1823,10-09-2015
1824,20-01-2005
1826,03-10-2013
1827,23-12-2017
1830,19-11-1990
1832,06-03-2009
1834,05-09-2017
1837,30-08-2019
1843,04-03-2018
1845,22-10-2004
1846,10-11-1980
1852,27-07-2018
1853,22-08-2018
1861,12-12-2016
1865,15-02-2019
1874,03-03-2019
1877,31-08-2014
1879,16-12-2018
1881,24-09-2018
1882,19-08-2006
1884,14-09-2006
1885,14-01-2015
1886,04-08-2016
1887,18-09-2018
1890,12-07-2008
1893,11-12-2015
1894,07-04-2006
1896,24-11-2007
1897,16-04-2010
1898,16-11-2012
1906,26-06-1998
1909,18-09-2018
1914,15-02-2016
1917,08-06-2019
1923,12-06-2014
1926,17-08-1978
1928,11-10-2015
1929,31-10-2012
1931,12-06-1988
1935,12-02-2008
1936,25-06-2019
1938,15-08-2019
1941,21-07-2016
1945,26-03-2017
1948,08-03-1996
1950,30-08-2014
1955,25-01-2010
1956,21-08-2016
1963,07-04-2006
1964,06-02-2018
1965,04-04-2018
1966,22-08-2017
1967,14-12-2018
1968,01-09-1999
1973,23-02-2011
1974,04-02-2019
1984,25-07-2019
1987,12-08-2019
1996,26-04-2013
2012,07-01-1995
2015,24-10-2016
2017,18-11-2006
2019,06-02-2015
2022,24-01-2013
2023,07-07-2019
2025,25-06-2014
2029,29-03-2010
2030,04-01-1982
2032,04-03-2001
2033,03-11-2013
2034,30-05-2014
2043,28-11-2005
2047,13-04-2017
2048,11-01-2019
2049,07-12-2008
2054,12-06-2018
2055,19-12-2012
2056,18-12-2017
2060,14-03-2019
2062,04-07-2012
2063,28-02-2017
2064,15-04-1967
2066,30-08-2008
2068,08-07-2003
2069,05-04-2019
2077,18-07-2019
2079,29-01-2012
2081,21-12-2003
2082,06-03-2003
2084,15-06-2014
2085,05-12-2017
2088,16-11-2004
2090,12-10-2004
2095,02-07-2019
2098,20-08-2016
2099,22-09-2014
2104,31-08-2004
2107,17-08-2007
2111,17-11-2017
2112,08-09-2015
2113,29-12-2015
2115,13-07-2013
2118,17-04-2012
2122,06-09-2015
2124,08-07-2019
2135,14-10-2013
2136,14-01-2012
2137,17-01-2005
2141,16-04-2005
2143,07-06-2019
2149,03-02-2014
2153,28-07-1999
2156,02-02-2018
2158,24-09-2016
2159,01-01-2015
2162,23-09-2016
2164,17-09-2016
2165,06-10-2016
2171,31-07-2019
2179,27-07-2002
2184,12-05-2014
2186,08-08-2012
2188,19-07-2015
2189,17-08-2017
2191,28-08-2019
2195,21-02-2016
2196,27-06-2015
2198,22-11-1997
2203,16-06-2018
2213,28-10-2018
2214,27-10-1997
2216,01-02-1999
2218,14-05-2018
2219,07-05-2007
2222,03-08-2018
2227,05-05-2019
2229,24-12-2018
2230,10-01-2019
2234,29-12-2002
2240,05-05-2017
2242,21-10-2010
2244,19-12-2007
2245,08-09-2008
2249,10-11-1982
2256,04-08-1997
2261,19-08-2018
2262,21-05-2007
2263,19-12-2014
2267,13-09-2018
2269,24-05-1994
2273,18-09-2014
2278,20-02-2019
2281,26-01-2011
2283,01-11-2017
2287,01-08-2019
2290,21-01-1993
2293,07-12-1968
2295,30-05-1997
2296,15-05-2019
2300,25-07-2019
2301,27-12-2016
2302,08-04-2003
2303,03-08-2016
2307,24-08-2019
2311,19-06-2013
2315,23-10-2015
2320,19-04-2007
2322,16-12-2015
2323,06-08-2013
2326,07-01-1989
2327,21-07-2019
2329,23-05-2016
2330,25-04-2016
2332,23-08-2017
2333,11-03-2018
2334,12-02-2019
2335,22-12-2016
2336,29-08-2019
2337,30-04-2015
2339,05-02-2005
2341,22-01-2007
2342,23-01-2019
2348,18-04-2016
2350,20-01-2014
2357,17-04-2004
2358,19-08-2001
2363,17-12-2006
2368,22-07-1998
2369,10-10-2016
2370,12-12-2017
2372,23-10-2002
2379,28-02-2010
2381,24-12-2004
2384,19-12-2018
2385,15-09-2017
2391,15-03-2013
2392,26-04-1998
2393,11-03-2006
2394,23-03-2001
2397,30-10-2006
2400,25-03-2009
2403,21-10-2017
2404,15-07-2004
2410,02-07-2019
2411,20-05-2019
2414,10-03-2010
2422,19-04-2016
2425,23-04-2008
2428,15-04-2000
2431,18-01-2016
2433,22-05-2019
2436,01-11-2018
2437,26-12-2006
2439,29-02-1976
2440,19-11-2017
2441,11-09-1988
2443,15-11-2013
2444,14-12-2016
2446,25-11-1987
2448,27-12-2018
2450,29-03-2018
2454,16-02-2014
2458,18-07-2019
2459,15-08-1977
2462,26-03-2015
2467,03-09-2015
2469,02-04-2015
2474,14-03-2019
2477,24-05-1995
2479,17-02-1999
2484,09-09-2018
2485,12-07-2006
2487,03-08-2012
2489,17-02-2019
2492,05-08-2019
2496,27-12-2015
2501,11-02-2009
2502,24-08-2014
2505,19-06-2008
2506,21-11-2011
2511,06-06-2012
2512,09-01-2018
2513,02-08-2011
2515,09-07-2004
2516,04-04-2019
2520,26-09-2010
2521,21-11-2018
2523,30-11-1976
2529,07-09-2017
2538,15-03-2019
2539,14-08-2003
2541,16-05-2016
2542,12-03-2019
2543,19-06-2017
2545,10-08-2019
2552,28-05-2015
2553,28-09-2013
2554,09-08-2016
2555,16-11-2010
2560,13-01-2018
2564,10-11-2017
2565,09-07-2004
2567,26-05-2019
2569,05-07-2007
2571,01-07-2017
2574,23-06-2009
2576,24-08-2001
2577,29-09-2007
2580,10-09-2017
2591,08-04-2018
2594,06-12-2016
2596,26-08-2017
2598,26-02-1997
2599,06-05-2010
2600,10-12-2018
2605,16-12-2012
2611,11-03-2016
2620,11-07-1993
2623,26-06-2014
2624,04-08-1994
2627,09-05-2017
2628,27-12-2013
2629,18-03-2018
2636,17-05-2016
2641,22-08-2019
2642,06-11-2003
2644,12-05-2018
2647,10-01-2012
2649,09-07-2019
2652,16-01-1976
2655,16-07-2008
2659,18-11-2008
2661,10-11-2018
2662,14-02-2002
2663,17-07-2014
2670,11-10-2017
2674,06-08-2019
2678,23-08-2015
2681,12-02-2019
2683,29-11-2017
2684,07-02-2006
2690,29-03-2019
2694,05-06-2019
2699,23-01-2006
2701,10-10-1985
2702,30-04-2016
2704,20-03-2018
2705,06-04-2016
2707,30-11-2012
2708,06-11-2016
2710,30-06-1993
2711,26-10-2012
2713,22-01-2003
2716,24-06-2010
2718,30-10-2018
2721,29-08-2019
2724,10-05-2013
2727,14-10-1993
2728,03-12-1998
2729,25-12-1996
2734,09-02-2019
2736,11-06-2019
2738,13-10-2013
2743,13-10-2016
2744,22-08-2005
2747,29-10-2018
2749,21-05-2003
2750,17-09-2018
2751,08-06-2019
2752,09-07-2019
2757,27-09-2005
2760,23-10-2008
2762,24-03-2016
2764,11-08-2017
2765,19-12-2008
2770,09-08-2003
2772,02-07-1998
2774,05-04-2017
2776,20-03-1998
2778,28-09-2010
2779,10-04-2016
2783,25-06-2018
2786,12-06-2010
2791,12-07-2015
2792,13-12-2018
2798,08-10-2017
2802,26-01-2019
2803,17-02-1994
2804,23-05-2013
2806,01-02-1975
2807,28-02-2000
2808,13-02-2019
2816,22-04-2003
2818,15-01-2015
2819,05-05-2002
2822,29-08-1991
2823,09-05-2013
2824,22-09-2018
2831,09-05-2017
2834,12-01-2004
2837,14-12-2018
2838,16-06-2015
2842,27-06-2012
2845,28-07-2011
2846,12-06-1997
2848,19-04-2018
2851,24-11-2015
2854,04-12-2013
2856,24-05-2001
2858,02-07-1998
2859,22-10-2011
2862,27-11-2013
2866,14-08-2009
2868,29-09-2018
2873,06-09-2014
2875,16-03-2017
2879,15-06-2017
2881,03-09-2010
2882,21-10-2018
2889,20-11-2017
2893,26-01-2012
2898,03-10-2015
2900,12-07-2019
2901,03-10-2003
2902,16-07-1990
2905,24-07-2014
2906,29-05-1980
2915,28-09-2005
2918,30-11-2016
2921,06-12-2017
2925,16-08-2019
2926,31-01-2011
2932,15-04-1989
2935,20-03-2004
2937,04-05-2008
2940,08-05-2018
2944,03-12-2017
2946,05-02-1985
2947,28-01-2010
2949,20-04-2016
2950,05-11-1970
2951,15-08-1994
2953,16-11-2014
2954,11-11-1997
2956,30-12-1997
2957,27-06-2018
2959,07-06-2019
2967,07-12-2000
2970,27-04-2019
2975,27-02-2015
2977,04-11-2011
2978,10-12-2011
2984,26-12-1996
2987,06-03-2017
2991,30-08-2012
2998,05-10-2017
2999,08-12-1966
3002,16-04-2016
3004,29-07-2008
3007,23-04-2018
3009,21-03-2005
3011,18-03-2011
3014,28-11-2012
3020,15-05-2014
3023,24-01-2019
3024,05-06-1999
3026,03-10-2018
3027,09-02-1994
3028,29-02-2008
3030,30-10-2013
3035,11-07-2016
3039,29-07-1996
3044,04-08-2015
3050,09-05-2012
3055,17-08-2018
3061,09-05-2002
3074,25-02-2019
3081,18-08-2018
3095,15-04-2003
3097,11-10-1970
3102,27-09-2009
3103,20-08-2019
3105,17-07-2011
3107,14-07-2019
3114,16-11-1976
3119,29-06-2007
3125,31-05-2016
3126,31-03-2010
3132,05-04-2018
3137,08-10-2001
3138,30-11-2013
3149,01-06-2013
3150,07-05-1999
3153,08-04-2013
3159,09-06-2019
3162,11-08-2012
3163,20-08-2019
3166,05-10-2015
3168,25-03-2006
3170,18-08-2019
3171,22-02-2007
3172,30-12-2018
3173,03-06-2019
3176,22-12-2018
3180,27-04-2008
3181,27-03-2000
3185,10-08-2019
3193,10-06-2006
3198,01-05-2018
3201,01-03-2014
3204,17-10-2018
3213,23-02-2018
3214,13-08-1992
3215,08-09-2014
3218,04-09-1992
3223,16-03-2014
3226,11-12-2016
3228,20-08-2019
3229,20-12-2011
3230,19-03-2013
3232,29-08-2019
3238,03-11-2008
3239,09-08-2018
3240,02-09-2015
3241,28-10-2018
3243,18-03-2011
3254,21-05-2017
3255,09-10-2012
3256,29-03-2018
3257,26-11-2013
3261,08-06-2016
3263,05-08-2012
3271,24-10-2015
3279,01-08-2013
3284,27-11-1989
3288,28-03-2018
3290,28-11-1996
3292,06-08-2019
3296,04-11-2016
3297,05-05-2017
3300,17-11-2013
3302,24-10-1998
3303,13-08-1993
3308,27-11-2018
3310,28-06-2016
3316,02-07-2018
3317,06-06-2014
3319,05-09-2015
3324,19-10-2011
3326,20-06-2019
3329,02-05-1994
3332,18-04-2019
3335,01-08-2019
3339,18-10-2018
3342,13-06-2004
3343,01-11-2011
3347,18-06-2019
3348,16-02-2015
3352,16-12-2014
3353,06-12-2017
3358,09-02-2016
3362,16-12-1990
3373,14-05-2005
3379,08-07-2011
3382,15-08-1994
3384,10-11-2018
3385,09-11-1998
3393,23-02-2011
3394,16-04-2009
3395,30-08-2012
3397,05-12-2016
3399,14-11-2016
3405,16-05-2018
3406,13-06-2006
3410,15-07-2019
3414,07-09-2016
3416,16-01-2019
3419,06-03-2016
3424,11-11-2018
3428,14-06-2003
3429,01-02-2018
3430,09-12-1989
3431,21-09-2012
3432,11-04-2019
3446,02-09-2007
3447,04-11-2016
3448,24-12-2018
3449,02-06-1997
3456,07-10-2018
3458,25-02-2019
3463,19-04-2004
3468,21-11-1991
3475,13-05-2015
3479,01-06-2008
3481,17-05-2015
3484,18-03-2016
3487,16-05-2016
3494,05-03-2019
3495,09-01-2017
3498,12-10-2015
3500,23-10-2004
3506,24-04-2019
3508,04-06-1989
3510,02-03-2014
3511,08-02-2018
3512,08-02-2017
3516,18-09-1992
3519,30-05-2004
3528,25-01-2002
3529,02-08-2019
3531,03-06-2015
3532,31-03-1980
3536,10-08-2019
3537,30-05-2011
3547,20-07-2016
3555,18-09-2003
3563,12-12-2018
3565,05-05-2015
3567,24-01-2012
3570,04-12-2013
3574,07-06-2014
3583,09-11-2016
3584,14-03-1992
3585,13-07-2011
3588,18-11-2016
3591,24-02-2019
3595,04-07-2008
3596,01-09-2010
3598,17-04-2003
3599,30-01-1984
3601,13-11-1984
3606,07-02-1991
3607,08-08-2008
3613,12-04-2016
3614,21-11-2013
3617,11-01-2018
3619,13-03-2009
3621,07-12-2015
3624,27-12-2018
3628,07-02-2017
3630,12-01-2013
3632,07-03-2015
3633,13-12-2018
3636,24-03-2016
3639,04-05-2015
3640,04-08-2019
3641,25-03-2017
3645,10-09-1999
3648,20-08-2019
3649,13-06-2018
3653,04-08-2005
3654,21-01-2006
3656,24-08-2019
3659,01-04-2016
3665,20-06-2014
3666,17-01-2009
3668,15-04-2018
3669,04-03-2006
3670,22-12-2017
3675,25-06-2019
3676,10-07-2011
3678,04-07-2017
3680,16-03-2018
3683,04-11-1989
3690,09-02-2003
3694,05-04-2018
3695,10-11-1976
3697,15-02-2013
3699,01-11-1986
3703,03-08-2016
3705,21-01-2018
3708,28-02-1961
3713,09-11-2016
3716,13-05-2017
3718,31-05-2009
3719,18-12-2018
3720,02-09-2015
3722,02-08-1965
3723,13-07-2012
3725,29-04-2019
3728,16-03-1995
3734,09-12-2016
3737,08-12-2013
3746,08-03-1987
3748,16-04-1990
3749,20-07-2000
3750,01-06-2016
3755,07-07-1994
3760,01-01-1996
3761,02-06-2019
3762,04-11-2015
3764,16-04-2013
3765,14-10-2013
3770,20-01-2016
3771,24-01-2015
3772,21-04-2010
3778,10-04-2011
3780,07-01-2019
3782,23-07-2016
3787,14-08-2011
3790,13-09-2016
3794,05-08-2014
3802,30-05-2007
3804,22-10-2013
3807,03-03-2016
3810,14-04-1985
3814,10-12-2018
3815,22-07-2012
3817,30-11-2011
3819,09-07-2015
3821,01-03-2015
3823,19-09-2011
3826,11-01-2019
3827,23-01-2009
3829,31-12-2018
3834,18-06-2019
3836,26-02-2011
3842,19-04-2009
3848,25-02-2005
3850,23-08-2012
3852,27-10-2001
3855,29-04-1996
3858,22-08-2018
3859,31-03-2016
3860,18-05-1990
3861,27-05-2005
3863,27-05-2016
3869,17-01-1989
3870,23-12-2009
3872,14-09-2013
3875,07-04-2015
3878,23-03-2019
3882,10-05-2019
3884,23-03-2017
3891,02-07-2019
3894,21-06-2019
3895,21-08-2013
3901,05-10-2008
3906,25-01-2008
3907,03-03-1982
3909,04-10-2012
3910,29-09-2018
3912,20-10-2004
3913,02-12-2001
3915,09-08-2019
3922,09-11-2015
3929,05-05-2009
3932,07-12-2016
3933,21-03-2009
3941,31-03-2019
3944,03-07-2018
3948,05-06-2015
3949,13-03-2019
3950,04-12-2009
3951,25-04-2005
3962,10-02-2012
3964,15-03-2011
3965,11-12-2010
3966,13-09-2015
3967,20-06-2019
3977,27-11-2018
3979,11-03-1985
3982,17-05-1999
3987,12-05-2019
3988,15-07-2018
3996,13-04-2015
4001,12-07-2015
4003,28-07-2008
4004,08-07-2019
4005,06-02-1999
4006,17-04-1995
4007,09-10-2006
4010,20-01-2012
4012,08-06-1994
4015,12-07-2018
4017,14-07-2019
4022,21-06-2018
4027,17-12-2013
4029,09-10-1999
4032,02-06-1985
4033,17-08-2017
4037,19-04-2000
4040,27-08-2019
4044,22-11-2014
4046,13-06-2015
4050,05-10-2017
4052,03-10-1995
4053,25-10-2014
4054,24-08-2018
4058,21-08-1996
4061,06-01-2014
4063,07-04-1991
4064,30-07-2014
4066,09-11-2004
4070,12-07-2019
4071,18-05-2019
4076,31-10-1980
4077,24-08-2019
4078,12-07-1989
4081,17-03-1998
4083,19-10-2009
4085,14-05-2017
4088,26-08-2019
4092,01-04-1981
4098,14-11-2011
4100,19-12-2002
4101,07-02-2001
4107,19-01-2010
4108,02-01-2006
4111,28-05-2019
4113,10-08-1998
4117,16-07-2009
4123,25-09-2017
4125,14-04-2019
4130,17-05-2017
4131,23-06-1980
4133,17-05-2019
4137,12-03-2012
4143,22-07-2019
4144,08-10-2010
4148,24-02-2019
4162,13-02-2001
4166,01-07-1996
4167,26-10-2017
4170,06-10-2017
4176,20-11-2012
4178,29-04-2002
4181,11-06-2017
4182,26-08-2019
4184,29-03-2004
4185,10-01-2015
4186,22-09-2002
4188,09-03-2016
4191,11-12-2018
4193,26-07-2000
4194,29-11-1997
4195,12-04-2005
4197,12-09-2002
4200,04-12-2011
4207,01-12-2015
4210,30-08-2008
4212,24-02-2011
4219,26-03-2017
4228,04-12-2014
4229,14-05-2012
4232,01-10-2018
4233,09-09-2010
4234,16-08-2003
4235,28-12-2012
